Total Visitor,Recreation Spending,Economic,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2021),Jobs ($000s, $2021),($000s, $2021),($000s, $2021)
Herbert Hoover NHS,69,843,"$4,547",67,"$1,953","$3,240","$6,065"
Home of Franklin D Roosevelt NHS,46,375,"$3,018",36,"$1,669","$2,679","$4,273"
Homestead NMa,54,113,"$2,020",27,$735,"$1,236","$2,350"
Hopewell Culture NHP,47,847,"$3,115",46,"$1,673","$2,680","$4,746"
Hopewell Furnace NHS,49,248,"$3,206",45,"$1,944","$3,028","$5,083"
Horseshoe Bend NMP,58,285,"$3,794",58,"$1,693","$2,772","$5,260"
Hot Springs NP,2,162,884,"$154,494",2,199,"$60,944","$110,594","$207,667"
Hovenweep NM,26,710,"$1,874",24,$704,"$1,241","$2,292"
Hubbell Trading Post NHSc,21,256,"$1,384",19,$489,$852,"$1,640"
Independence NHP,1,495,686,"$97,365",1,349,"$59,784","$92,825","$154,508"
Indiana Dunes NL,3,177,210,"$156,287",1,877,"$88,812","$141,460","$230,617"
Isle Royale NPc,25,844,"$5,903",101,"$1,937","$3,535","$7,126"
James A Garfield NHSa,20,982,$838,13,$466,$725,"$1,298"
Jean Lafitte NP&PRES,247,749,"$16,128",225,"$7,304","$12,365","$22,114"
Jewel Cave NM,108,209,"$7,044",98,"$2,870","$4,975","$9,287"
Jimmy Carter NHS,27,615,"$1,797",28,$685,"$1,171","$2,302"
John D Rockefeller Jr MEM PKWY,1,603,962,"$11,217",138,"$4,922","$7,574","$13,151"
John Day Fossil Beds NMa,148,276,"$8,048",98,"$3,453","$5,502","$9,882"
John F Kennedy NSHc,0,$0,0,$0,$0,$0
John Muir NHS,36,904,"$2,402",26,"$1,426","$2,193","$3,370"
Johnstown Flood NMEMa,148,654,"$10,236",155,"$5,675","$8,797","$15,702"
Joshua Tree NPab,3,064,400,"$169,725",2,037,"$76,696","$124,069","$207,828"
Kalaupapa NHP,25,252,"$1,644",17,$766,"$1,375","$2,119"
Kaloko-Honokohau NHP,262,653,"$17,098",177,"$7,965","$14,304","$22,040"
Katahdin Woods and Waters NM,39,485,"$2,809",38,"$1,140","$1,973","$3,599"
Katmai NP&PRESc,24,764,"$40,348",569,"$22,102","$35,257","$60,382"
Kenai Fjords NP,411,782,"$79,270",1,379,"$49,496","$67,062","$121,073"
Kennesaw Mountain NBP,1,800,823,"$117,229",1,721,"$64,040","$106,998","$184,769"
Keweenaw NHPc,12,457,$811,11,$251,$456,$904
Kings Canyon NP,562,918,"$51,833",663,"$24,653","$39,189","$66,640"
Kings Mountain NMPa,265,666,"$11,868",164,"$5,971","$9,774","$17,099"
Klondike Gold Rush AK NHPac,33,228,"$5,502",84,"$3,513","$4,362","$7,168"
Klondike Gold Rush WA NHP,35,977,"$2,341",25,"$1,189","$2,080","$3,222"
Knife River Indian Villages NHS,11,223,$731,10,$302,$502,$944
Kobuk Valley NP,11,540,"$18,802",265,"$10,300","$16,430","$28,138"
Korean War Veterans MEM,2,986,751,"$62,735",790,"$36,335","$60,130","$96,199"
Lake Chelan NRA,40,511,"$2,968",29,"$1,474","$2,595","$3,927"
Lake Clark NP&PRESc,18,278,"$29,779",420,"$16,312","$26,021","$44,565"
Lake Mead NRA,7,603,474,"$373,668",4,054,"$167,550","$281,033","$457,279"
Lake Meredith NRA,1,307,769,"$64,076",864,"$24,505","$38,703","$75,591"
Lake Roosevelt NRA,1,336,629,"$66,431",767,"$27,072","$48,488","$82,640"
Lassen Volcanic NPc,359,635,"$24,328",304,"$10,371","$16,574","$29,146"
Lava Beds NMa,103,946,"$5,050",58,"$2,035","$3,160","$5,643"
Lewis and Clark NHP,274,230,"$17,851",235,"$9,644","$15,741","$26,386"
Lincoln Boyhood NMEMa,114,353,"$6,021",93,"$3,053","$4,798","$8,752"
Morristown NHP,332,036,"$21,614",244,"$13,055","$21,049","$32,236"
Mount Rainier NPa,1,670,063,"$66,989",688,"$31,951","$55,935","$86,927"
Mount Rushmore MEM,2,525,868,"$164,428",2,321,"$68,419","$118,436","$221,584"
Muir Woods NMa,657,722,"$79,784",742,"$50,953","$78,628","$112,097"
Natchez NHP,56,264,"$3,662",51,"$1,499","$2,551","$4,701"
Natchez Trace PKWY,6,401,346,"$178,181",2,102,"$68,900","$108,198","$197,720"
National Capital Parks Central,659,317,"$13,849",175,"$8,028","$13,280","$21,278"
National Capital Parks East,1,215,836,"$25,538",332,"$14,808","$24,552","$39,697"
National Park of American Samoa,8,495,$553,6,$258,$463,$713
Natural Bridges NM,73,484,"$5,125",60,"$1,996","$3,365","$5,910"
Navajo NMc,14,834,"$1,030",12,$400,$672,"$1,181"
New Bedford Whaling NHPa,10,487,$617,8,$397,$612,$989
New Orleans Jazz NHPc,25,750,"$1,676",23,$791,"$1,331","$2,355"
New River Gorge NR,1,682,720,"$82,629",1,094,"$32,280","$53,876","$100,063"
Nez Perce NHP,309,165,"$20,126",256,"$8,557","$15,185","$26,262"
Nicodemus NHSa,4,629,$287,3,$83,$153,$282
Ninety Six NHS,92,976,"$6,052",86,"$2,610","$4,530","$8,183"
Niobrara NSRa,90,670,"$9,911",148,"$3,238","$5,446","$11,637"
Noatak NPRES,12,891,"$21,004",296,"$11,505","$18,353","$31,433"
North Cascades NPc,17,855,$953,9,$441,$751,"$1,134"
Obed W&SRa,247,826,"$5,172",55,"$1,856","$2,940","$5,384"
Ocmulgee NM,128,820,"$8,386",127,"$3,143","$5,455","$10,605"
Olympic NP,2,718,925,"$250,067",2,711,"$128,686","$228,921","$351,839"
Oregon Caves NMb,34,202,"$3,127",43,"$1,526","$2,366","$4,213"
Organ Pipe Cactus NM,190,848,"$12,924",171,"$6,704","$11,283","$19,313"
Ozark NSR,1,328,773,"$64,433",886,"$22,092","$36,659","$73,856"
Padre Island NS,615,826,"$29,911",410,"$11,906","$18,645","$36,177"
Palo Alto Battlefield NHP,128,852,"$8,388",128,"$3,645","$5,678","$11,099"
Paterson Great Falls NHP,312,595,"$20,349",249,"$11,978","$18,043","$29,111"
Pea Ridge NMP,82,854,"$5,394",81,"$2,368","$3,921","$7,466"
Pecos NHP,58,944,"$3,837",53,"$1,665","$2,812","$5,127"
Pennsylvania Avenue NHSc,0,$0,0,$0,$0,$0
Perry's Victory & International Peace MEMa,68,010,"$6,650",108,"$4,178","$6,482","$11,242"
Petersburg NB,201,606,"$13,124",192,"$6,312","$10,625","$19,244"
Petrified Forest NP,590,334,"$42,363",503,"$16,190","$27,289","$48,480"
Petroglyph NM,364,211,"$23,709",330,"$10,223","$17,313","$31,768"
Pictured Rocks NL,1,313,179,"$64,240",773,"$21,096","$36,786","$68,305"
Pinnacles NP,348,857,"$24,259",252,"$12,439","$19,214","$29,895"
Pipe Spring NM,24,026,"$1,564",21,$630,"$1,058","$1,982"
Pipestone NM,82,344,"$5,360",75,"$2,375","$3,897","$7,152"
Piscataway P,279,538,"$18,197",222,"$10,241","$16,758","$26,680"
Point Reyes NS,2,738,098,"$134,852",1,298,"$73,923","$113,075","$172,003"
Port Chicago Naval Magazine NMEM,568,$37,0,$22,$34,$52
President's Park,395,915,"$8,316",105,"$4,817","$7,971","$12,752"
President William Jefferson Clinton Birthplace Home NHS,7,279,$474,7,$178,$313,$589
Prince William Forest P,325,248,"$22,083",260,"$12,122","$19,912","$31,570"
Puuhonua O Honaunau NHP,250,919,"$16,334",169,"$7,609","$13,665","$21,055"
Puukohola Heiau NHS,24,326,"$1,584",16,$738,"$1,325","$2,042"
Rainbow Bridge NM,3,290,$214,3,$87,$143,$252
Redwood NP,435,879,"$30,901",406,"$14,376","$22,180","$39,555"
Steamtown NSHa,54,433,"$3,277",47,"$1,744","$2,699","$4,735"
Stones River NB,365,833,"$23,815",313,"$12,745","$20,518","$34,597"
Stonewall NMc,70,000,"$4,557",50,"$2,720","$4,423","$6,698"
Sunset Crater Volcano NM,125,653,"$8,179",102,"$3,360","$5,488","$9,663"
Tallgrass Prairie NPRES,35,001,"$2,278",32,$948,"$1,616","$2,974"
Thaddeus KosciuszkN MEMc,0,$0,0,$0,$0,$0
Theodore Roosevelt Birthplace NHS,1,720,$113,1,$68,$110,$166
Theodore Roosevelt Inaugural NHS,13,323,$867,11,$400,$700,"$1,174"
Theodore Roosevelt Island P,169,444,"$11,030",137,"$6,245","$10,205","$16,340"
Theodore Roosevelt NP,796,085,"$56,160",675,"$20,141","$34,221","$62,153"
Thomas Edison NHP,14,807,$964,11,$578,$932,"$1,415"
Thomas Jefferson MEM,1,833,924,"$38,521",485,"$22,310","$36,921","$59,068"
Thomas Stone NHS,3,967,$258,3,$145,$237,$377
Timpanogos Cave NM,122,551,"$7,978",113,"$3,973","$6,725","$12,077"
Timucuan EHP,935,419,"$60,894",880,"$29,431","$50,001","$88,680"
Tonto NM,32,334,"$2,105",29,"$1,132","$1,887","$3,245"
Tule Springs Fossil Beds NM,11,953,$778,9,$386,$666,"$1,064"
