Park Unit,"Total
Recreation
Visits","Total Visitor
Spending
($000s, $2024)",Jobs,"Labor Income
($000s, $2024)","Value Added
($000s, $2024)","Economic
Output
($000s, $2024)"
Castillo De San Marcos NM,"579,825","$40,801",433,"$17,585","$32,726","$55,523"
Castle Clinton NM,"3,822,759","$113,498",869,"$52,628","$91,132","$137,851"
Catoctin Mountain P A,"380,681","$11,749",91,"$4,744","$8,389","$13,178"
Cedar Breaks NM,"722,834","$55,859",547,"$20,779","$38,877","$67,180"
Cesar E. Chavez NM,"26,641","$1,875",18,$968,"$1,657","$2,618"
Chaco Culture NHP,"37,840","$2,456",24,$940,"$1,724","$3,001"
Chamizal NMEM,"6,627",$466,5,$174,$322,$585
Channel Islands NP,"262,581","$17,742",161,"$9,228","$15,833","$24,863"
Charles Pinckney NHS,"30,903","$2,175",22,$886,"$1,708","$2,830"
Charles Young Buffalo Soldiers NM C,"4,716",$332,4,$143,$249,$428
Chattahoochee River NRA,"2,940,804","$155,445","1,564","$73,014","$132,356","$216,838"
Chesapeake & Ohio Canal NHP,"4,421,276","$100,496",976,"$50,717","$92,200","$143,912"
Chickamauga & Chattanooga NMP,"1,003,081","$70,550",746,"$26,705","$49,410","$87,209"
Chickasaw NRA A,"1,670,498","$31,681",218,"$7,914","$14,343","$25,339"
Chiricahua NM,"71,390","$5,122",50,"$1,712","$3,184","$5,655"
Christiansted NHS,"124,539","$8,763",72,"$3,841","$7,430","$11,215"
City Of Rocks NRES,"89,949","$6,329",62,"$2,307","$4,270","$7,371"
Clara Barton NHS,"13,334",$938,9,$467,$845,"$1,310"
Colonial NHP A,"2,551,228","$317,919","3,324","$118,034","$224,681","$388,572"
Colorado NM,"488,038","$37,123",348,"$13,834","$26,563","$45,005"
Congaree NP A,"242,049","$14,609",134,"$5,229","$10,373","$17,586"
Coronado NMEM,"164,426","$11,570",118,"$4,883","$8,813","$14,892"
Cowpens NB,"156,287","$12,118",130,"$5,630","$10,153","$17,160"
Crater Lake NP,"504,942","$53,516",564,"$25,152","$43,405","$74,295"
Craters Of The Moon NM&PRES A,"314,118","$13,093",124,"$4,911","$8,742","$15,441"
Cumberland Gap NHP A,"729,249","$23,973",201,"$6,683","$13,410","$24,310"
Cumberland Island NS,"64,706","$3,298",32,"$1,361","$2,483","$4,156"
Curecanti NRA,"980,899","$51,506",412,"$19,039","$35,676","$57,165"
Cuyahoga Valley NP A,"2,912,454","$143,920","1,598","$71,532","$126,137","$213,710"
Dayton Aviation Heritage NHP A,"87,032","$6,270",73,"$3,285","$5,756","$9,737"
De Soto NMEM C,"155,016","$10,909",117,"$5,121","$9,399","$15,711"
Death Valley NP,"1,440,484","$146,167","1,343","$66,664","$119,573","$191,059"
Delaware Water Gap NRA A,"4,079,763","$164,196","1,580","$76,077","$127,771","$210,658"
Denali NP&PRES,"466,227","$611,952","5,659","$297,298","$539,589","$879,690"
Devils Postpile NM,"94,215","$7,307",70,"$2,965","$5,170","$8,660"
Devils Tower NM,"540,890","$41,734",407,"$15,647","$30,340","$52,289"
Dinosaur NM A,"322,113","$24,210",243,"$6,911","$14,622","$26,115"
Dry Tortugas NP,"84,873","$6,250",49,"$2,346","$4,333","$6,824"
Dwight D. Eisenhower MEM,"731,476","$16,737",158,"$8,560","$15,614","$23,971"
Edgar Allan Poe NHS C,"8,131",$572,6,$311,$527,$846
Effigy Mounds NM A,"61,975","$4,753",51,"$1,801","$3,302","$5,897"
Eisenhower NHS,"123,466","$8,689",81,"$4,312","$7,657","$11,913"
El Malpais NM,"163,679","$11,518",123,"$4,716","$8,603","$14,999"
El Morro NM,"57,827","$4,420",43,"$1,337","$2,562","$4,710"
Eleanor Roosevelt NHS,"23,699","$1,668",15,$808,"$1,423","$2,200"
Emmett Till and Mamie Till-Mobley (Illinois) NM,"1,754",$124,1,$64,$116,$176
Emmett Till and Mamie Till-Mobley (Mississippi) NM,"1,759",$124,1,$44,$78,$142
Eugene O’Neill NHS,"17,653","$1,242",10,$672,"$1,132","$1,682"
Everglades NP A,"741,983","$114,601","1,126","$62,589","$111,133","$175,943"
Federal Hall NMEM A,"63,314","$4,025",32,"$2,348","$4,045","$5,623"
Fire Island NS,"303,731","$16,055",122,"$8,099","$14,207","$20,769"
First Ladies NHS,"12,642",$890,10,$441,$764,"$1,291"
First State NHP,"208,870","$14,698",148,"$8,004","$13,490","$21,323"
Flight 93 NMEM,"349,566","$24,598",266,"$12,010","$20,483","$34,434"
Florissant Fossil Beds NM,"71,499","$5,031",47,"$2,484","$4,495","$7,090"
Ford’s Theatre NHS,"457,132","$10,460",99,"$5,350","$9,758","$14,981"
Fort Bowie NHS A,"8,483",$372,3,$121,$225,$399
Fort Caroline NMEM,"260,350","$18,320",197,"$8,414","$15,428","$25,952"
Fort Davis NHS,"42,553","$2,994",28,$956,"$1,828","$3,181"
Fort Donelson NB A,"166,026","$5,540",51,"$1,819","$3,226","$5,805"
"Fort Frederica NM A,B","243,027","$19,048",203,"$8,174","$14,980","$25,396"
Fort Laramie NHS A,"44,045","$1,401",13,$384,$724,"$1,384"
Fort Larned NHS A,"26,219","$1,897",20,$636,"$1,195","$2,212"
Fort Matanzas NM,"680,040","$47,854",506,"$20,580","$38,344","$64,994"
Fort McHenry NM&SHRINE,"394,175","$27,738",261,"$13,886","$24,907","$38,592"
Fort Necessity NB,"276,173","$19,423",216,"$9,742","$16,752","$28,239"
Fort Point NHS,"1,189,908","$83,732",692,"$45,277","$76,246","$113,371"
Fort Pulaski NM,"356,993","$27,688",264,"$10,871","$20,970","$34,697"
Fort Raleigh NHS,"274,783","$19,335",208,"$7,612","$14,009","$24,495"
Fort Scott NHS A,"24,654",$513,5,$157,$275,$532
Fort Smith NHS,"124,486","$8,760",99,"$3,439","$6,408","$11,524"
Fort Stanwix NM A,"79,704","$5,286",46,"$2,130","$4,152","$6,509"
Fort Sumter and Fort Moultrie NHP,"384,308","$27,042",268,"$11,026","$21,297","$35,328"
Fort Union NM A,"9,217",$741,7,$270,$493,$822
Fort Union Trading Post NHS A,"12,028","$1,137",10,$361,$632,"$1,114"
Fort Vancouver NHS,"1,007,756","$70,914",714,"$35,289","$63,114","$102,283"
Fort Washington P,"491,013","$34,552",317,"$17,047","$30,951","$47,676"
Fossil Butte NM A,"21,491","$1,270",11,$432,$807,"$1,353"
Franklin Delano Roosevelt MEM A,"3,225,923","$26,649",258,"$14,337","$24,410","$37,475"
Frederick Douglass NHS,"25,836",$591,6,$302,$551,$844
Frederick Law Olmsted NHS,"13,218",$930,9,$522,$877,"$1,360"
Fredericksburg & Spotsylvania NMP,"818,533","$57,599",536,"$27,624","$50,186","$78,141"
Friendship Hill NHS,"19,465","$1,370",15,$678,"$1,168","$1,969"
Gates Of The Arctic NP&PRES C,"11,907","$23,177",217,"$11,270","$20,368","$33,207"
Gateway Arch NP A,"2,563,052","$184,599","2,157","$104,231","$179,764","$300,650"
Gateway NRA A,"8,929,035","$294,757","2,343","$113,514","$205,058","$328,966"
Gauley River NRA A,"272,898","$13,946",134,"$4,842","$8,756","$15,196"
General Grant NMEM A,"110,602","$4,935",42,"$2,763","$4,793","$6,842"
George Rogers Clark NHP,"166,621","$11,725",122,"$4,256","$8,203","$14,479"
George Washington Birthplace NM A,"58,983","$3,256",29,"$1,510","$2,739","$4,263"
George Washington Carver NM A,"39,081",$847,8,$324,$568,"$1,016"
George Washington MEM PKWY A,"6,782,717","$225,708","2,072","$118,337","$209,945","$323,403"
Gettysburg NMP,"741,574","$57,506",518,"$28,188","$50,234","$77,894"
Gila Cliff Dwellings NM,"47,378","$3,334",32,"$1,043","$1,934","$3,460"
Glacier Bay NP&PRES A,"736,282","$333,265","3,088","$166,755","$302,943","$521,384"
Glacier NP A,"3,208,755","$457,955","5,188","$217,176","$359,081","$656,188"
"Glen Canyon NRA A,B","4,725,610","$516,822","4,830","$213,131","$381,809","$634,245"
Golden Gate NRA A,"17,187,508","$1,769,628","11,815","$969,712","$1,578,986","$2,235,430"
Golden Spike NHP A,"55,285","$3,780",39,"$1,690","$3,127","$5,294"
Governors Island NM,"63,086","$4,439",38,"$2,474","$4,285","$6,309"
Grand Canyon NP A,"4,919,163","$905,346","8,778","$393,248","$697,736","$1,143,263"
Grand Portage NM,"88,931","$6,896",59,"$2,104","$3,960","$6,728"
Grand Teton NP A,"3,628,222","$807,563","6,861","$329,149","$593,456","$983,519"
Grant-Kohrs Ranch NHS A,"27,479",$720,8,$322,$523,$950
Great Basin NP A,"152,068","$16,742",146,"$7,607","$14,022","$22,709"
Great Sand Dunes NP&PRES A,"437,661","$29,547",261,"$8,525","$17,025","$30,898"
Great Smoky Mountains NP A,"12,191,834","$2,041,287","20,349","$1,015,336","$1,779,662","$2,857,978"
Greenbelt P A,"77,642","$1,026",8,$414,$701,"$1,101"
Guadalupe Mountains NP A,"226,134","$28,092",245,"$9,687","$18,483","$32,339"
Guilford Courthouse NMP,"461,143","$32,449",356,"$15,585","$27,024","$45,976"
Gulf Islands NS,"7,801,176","$410,967","4,018","$164,262","$302,513","$514,233"
Hagerman Fossil Beds NM,"39,104","$2,752",28,"$1,239","$2,206","$3,726"
Haleakala NP,"732,477","$56,001",439,"$23,729","$46,922","$70,168"
Hamilton Grange NMEM,"63,647","$4,479",38,"$2,492","$4,327","$6,366"
Hampton NHS,"12,260",$862,8,$436,$777,"$1,204"
Harpers Ferry NHP A,"488,049","$29,193",294,"$15,405","$27,562","$43,207"
Harriet Tubman Underground Railroad NHP,"17,946","$1,263",12,$473,$889,"$1,468"
Harry S Truman NHS,"24,102","$1,696",19,$849,"$1,490","$2,534"
"Hawaiʻi Volcanoes NP A,B","1,433,593","$445,429","3,605","$187,562","$379,589","$570,869"
Herbert Hoover NHS,"148,031","$10,417",110,"$4,079","$7,605","$13,286"
Home Of Franklin D Roosevelt NHS,"123,848","$8,715",78,"$4,247","$7,474","$11,597"
Homestead NHP A,"52,330","$2,050",20,$717,"$1,297","$2,322"
Hopewell Culture NHP,"65,350","$4,599",50,"$2,213","$3,890","$6,564"
Hopewell Furnace NHS,"48,776","$3,432",36,"$1,832","$3,108","$5,043"
Horseshoe Bend NMP,"64,063","$4,509",51,"$1,853","$3,385","$6,011"
Hot Springs NP,"2,461,812","$189,775","2,125","$72,527","$141,290","$253,410"
Hovenweep NM,"31,471","$2,367",22,$838,"$1,613","$2,792"
Hubbell Trading Post NHS,"46,419","$3,266",34,"$1,083","$2,057","$3,758"
Ice Age NST,"29,711","$2,091",22,$934,"$1,655","$2,778"
Independence NHP,"2,798,651","$196,937","2,048","$107,032","$181,332","$291,254"
Indiana Dunes NP,"2,705,209","$142,760","1,228","$67,877","$124,668","$192,936"
"Isle Royale NP A,C","28,806","$11,950",95,"$3,759","$7,242","$14,175"
James A Garfield NHS A,"39,671","$1,714",20,$828,"$1,456","$2,492"
Jean Lafitte NP&PRES,"212,591","$14,960",161,"$6,149","$11,540","$19,942"
Jewel Cave NM,"145,332","$10,227",105,"$3,937","$7,475","$13,021"
Jimmy Carter NHP,"33,031","$2,324",27,$810,"$1,542","$2,898"
John D Rockefeller Jr MEM PKWY,"1,459,804","$11,317",90,"$5,003","$8,139","$12,699"
"John Day Fossil Beds NM A,B","122,529","$9,542",94,"$4,257","$7,456","$12,588"
John F Kennedy NHS,"18,180","$1,279",12,$718,"$1,206","$1,871"
John Muir NHS,"45,753","$3,219",27,"$1,741","$2,931","$4,361"
Johnstown Flood NMEM A,"95,842","$7,175",81,"$3,617","$6,175","$10,434"
Joshua Tree NP A,"2,991,874","$179,292","1,633","$73,560","$130,440","$214,109"
Kalaupapa NHP,"30,774","$2,165",18,$949,"$1,836","$2,771"
Kaloko-Honokohau NHP,"351,422","$24,729",204,"$10,840","$20,966","$31,648"
Katahdin Woods and Waters NM,"35,173","$2,702",26,"$1,064","$2,048","$3,440"
Katmai NP&PRES C,"36,230","$70,525",659,"$34,294","$61,978","$101,043"
Kenai Fjords NP,"419,468","$92,753","1,187","$49,649","$77,447","$131,149"
Kennesaw Mountain NBP,"1,495,856","$105,262","1,155","$53,913","$97,010","$159,134"
Keweenaw NHP,"31,191","$2,195",23,$674,"$1,324","$2,436"
Kings Canyon NP,"699,389","$72,735",729,"$30,973","$53,557","$90,685"
Kings Mountain NMP A,"182,463","$8,742",93,"$4,054","$7,222","$12,227"
"Klondike Gold Rush AK NHP A,C","1,336,008","$219,983","2,342","$110,668","$161,980","$265,262"
Klondike Gold Rush WA NHP,"81,652","$5,746",44,"$2,580","$5,156","$7,559"
Knife River Indian Villages NHS,"10,867",$765,8,$304,$536,$977
Kobuk Valley NP,"17,233","$33,545",314,"$16,312","$29,480","$48,061"
Korean War Veterans MEM A,"4,344,305","$126,850","1,183","$70,590","$124,172","$184,634"
Lake Chelan NRA,"30,815","$2,442",17,"$1,042","$2,134","$3,061"
Lake Clark NP&PRES C,"18,505","$36,022",337,"$17,516","$31,656","$51,610"
"Lake Mead NRA A,B","6,412,854","$408,444","3,661","$192,320","$347,686","$553,411"
Lake Meredith NRA A,"1,212,905","$30,223",160,"$6,184","$11,338","$19,077"
Lake Roosevelt NRA,"1,091,489","$57,831",462,"$19,761","$42,595","$67,205"
Lassen Volcanic NP A,"357,651","$34,895",320,"$13,748","$23,996","$40,687"
Lava Beds NM A,"127,563","$6,465",57,"$2,353","$4,135","$7,082"
Lewis and Clark NHP,"267,118","$18,797",176,"$8,725","$16,252","$25,791"
Lincoln Boyhood NMEM A,"129,904","$7,459",84,"$3,305","$5,994","$10,148"
Lincoln Home NHS A,"154,522","$11,302",110,"$4,023","$8,354","$13,903"
Lincoln MEM,"8,479,349","$194,009","1,829","$99,224","$180,994","$277,872"
Little Bighorn Battlefield NM,"111,825","$7,869",91,"$3,354","$5,659","$10,448"
Little River Canyon NPRES,"763,209","$53,705",581,"$21,948","$40,437","$70,188"
Little Rock Central High School NHS,"63,767","$4,487",53,"$1,793","$3,435","$6,196"
Longfellow House Washington’s Headquarters NHS,"51,496","$3,624",35,"$2,046","$3,428","$5,312"
Lowell NHP,"264,456","$18,609",178,"$10,453","$17,549","$27,191"
"Lyndon B Johnson NHP A,B","119,278","$13,497",147,"$7,143","$12,930","$21,625"
"Lyndon Baines Johnson Memorial Grove on the Potomac
NMEM","241,358","$16,984",158,"$8,430","$15,273","$23,639"
Maggie L Walker NHS,"6,310",$444,5,$189,$354,$598
"Mammoth Cave NP A,B","747,042","$73,238",883,"$31,099","$53,157","$97,268"
Manassas NBP,"541,965","$38,137",352,"$18,835","$34,166","$52,773"
Manhattan Project (New Mexico) NHP,"25,538","$1,797",16,$695,"$1,243","$2,045"
Manhattan Project (Tennessee) NHP B,"29,511","$2,765",27,"$1,322","$2,365","$3,821"
Manhattan Project (Washington) NHP,"19,644",$773,6,$259,$544,$847
Manzanar NHS A,"93,854","$11,794",108,"$4,652","$8,246","$13,632"
Marsh - Billings - Rockefeller NHP,"81,713","$5,749",51,"$2,498","$4,654","$7,317"
"Martin Luther King, Jr. MEM","3,251,594","$74,397",701,"$38,050","$69,406","$106,556"
"Martin Luther King, Jr. NHP","1,159,438","$81,588",895,"$41,887","$75,434","$123,586"
Martin Van Buren NHS A,"17,712",$870,8,$354,$660,"$1,063"
Mary McLeod Bethune Council House NHS A,"3,338",$257,2,$138,$246,$367
Medgar and Myrlie Evers Home NM,"71,554","$5,035",57,"$2,093","$3,892","$6,898"
Mesa Verde NP A,"480,065","$60,171",572,"$22,253","$43,001","$73,506"
Mill Springs Battlefield NM,"8,579",$604,7,$211,$375,$701
Minidoka (Idaho) NHS C,"9,530",$197,2,$67,$112,$218
Minidoka (Washington) NHS C,"12,495",$879,7,$285,$639,$993
Minute Man NHP,"879,316","$61,876",593,"$34,894","$58,559","$90,776"
Minuteman Missile NHS A,"118,108","$10,519",105,"$4,000","$7,662","$13,189"
Mississippi NRRA,"256,133","$13,539",135,"$6,425","$11,386","$18,913"
Missouri NRR,"153,521","$8,115",78,"$3,186","$5,666","$9,712"
Mojave NPRES A,"424,864","$29,829",270,"$13,538","$24,378","$38,285"
Monocacy NB A,"116,520","$4,987",46,"$1,904","$3,483","$5,801"
Montezuma Castle NM,"379,967","$26,738",272,"$13,525","$24,093","$38,983"
Moores Creek NB,"69,079","$5,358",55,"$1,970","$3,743","$6,611"
Morristown NHP A,"208,138","$4,654",31,"$2,237","$3,748","$5,420"
Mount Rainier NP A,"1,620,006","$72,212",522,"$30,785","$61,567","$90,953"
Mount Rushmore NMEM A,"1,850,329","$303,904","3,081","$128,538","$238,673","$402,336"
Muir Woods NM A,"792,494","$111,635",744,"$63,902","$105,168","$145,801"
Natchez NHP,"21,520","$1,514",16,$560,"$1,059","$1,878"
Natchez Trace PKWY A,"7,364,833","$553,964","4,487","$243,180","$447,061","$696,194"
National Capital Parks Central A,"1,034,341","$103,847",971,"$57,829","$101,621","$151,173"
National Capital Parks Easta,"1,271,126","$37,053",332,"$18,965","$33,179","$50,993"
National Park of American Samoa,"22,567","$1,588",13,$696,"$1,346","$2,032"
Natural Bridges NM,"75,680","$5,527",49,"$2,019","$3,723","$6,219"
Navajo NM,"58,442","$4,408",40,"$1,639","$2,983","$5,008"
New Bedford Whaling NHP A,"18,330","$1,193",12,$695,"$1,158","$1,794"
New Orleans Jazz NHP,"44,943","$3,163",34,"$1,356","$2,513","$4,282"
New River Gorge NP&PRES,"1,811,937","$95,496",948,"$33,781","$62,907","$109,859"
Nez Perce NHP,"342,924","$24,131",215,"$8,931","$18,538","$29,678"
Nicodemus NHS A,"7,535",$499,5,$157,$285,$523
Ninety Six NHS,"101,352","$7,132",77,"$2,832","$5,404","$9,360"
Niobrara NSR A,"74,387","$7,727",87,"$2,394","$4,428","$9,023"
Noatak NPRES,"18,311","$35,643",333,"$17,332","$31,324","$51,067"
North Cascades NP,"16,485",$950,6,$378,$759,"$1,096"
Obed W&SR A,"261,732","$5,548",42,"$1,875","$3,262","$5,554"
Ocmulgee Mounds NHP,"141,905","$9,985",114,"$3,446","$6,529","$12,107"
Olympic NP,"3,717,267","$380,177","2,881","$176,052","$352,978","$515,816"
Oregon Caves NM&PRES,"94,016","$9,521",98,"$4,093","$7,138","$12,364"
"Organ Pipe Cactus NM A,B","182,612","$23,354",215,"$11,143","$19,760","$32,618"
Ozark NSR,"1,343,779","$70,273",724,"$23,044","$42,003","$78,451"
"Padre Island NS A,B","514,722","$47,540",484,"$18,157","$33,979","$58,623"
Palo Alto Battlefield NHP,"178,946","$12,592",145,"$4,566","$8,512","$15,908"
Paterson Great Falls NHP,"210,741","$14,829",138,"$7,362","$12,298","$19,450"
Pea Ridge NMP,"102,621","$7,222",80,"$3,110","$5,541","$9,808"
Pearl Harbor NMEM A,"1,588,798","$348,648","2,897","$165,606","$338,468","$501,652"
Pecos NHP,"46,726","$3,287",34,"$1,383","$2,501","$4,275"
Pennsylvania Avenue NHS,"141,840","$3,245",31,"$1,660","$3,028","$4,648"
Perry’s Victory & International Peace MEM A,"91,302","$10,011",120,"$5,537","$9,604","$15,854"
Petersburg NB,"191,623","$13,484",148,"$5,812","$10,851","$18,511"
Petrified Forest NP,"559,254","$43,357",396,"$15,975","$28,992","$48,958"
"Petroglyph NM A,B","354,534","$33,243",344,"$14,782","$27,482","$47,285"
Pictured Rocks NL,"953,052","$50,015",428,"$15,754","$30,319","$51,492"
Pinnacles NP A,"354,076","$25,256",159,"$11,425","$19,313","$27,783"
Pipe Spring NM,"24,530","$1,726",17,$657,"$1,213","$2,101"
Pipestone NM,"83,033","$5,844",60,"$2,603","$4,520","$7,697"
Piscataway P,"334,260","$23,522",216,"$11,604","$21,069","$32,458"
"Point Reyes NS A,B","2,371,800","$184,161","1,456","$98,359","$164,609","$247,492"
Port Chicago Naval Magazine NMEM,930,$65,1,$35,$60,$89
President William Jefferson Clinton Birthplace Home NHS,"6,215",$437,5,$153,$297,$544
President’s Park,"915,636","$20,949",198,"$10,714","$19,544","$30,005"
Prince William Forest P A,"355,196","$11,011",87,"$4,692","$8,274","$12,774"
Pu`uhonua O Honaunau NHP,"454,268","$31,966",264,"$14,012","$27,102","$40,910"
Pullman NHP,"31,961","$2,249",20,"$1,170","$2,115","$3,206"
Puukohola Heiau NHS,"27,507","$1,936",16,$849,"$1,641","$2,477"
Rainbow Bridge NM C,"17,488","$1,231",12,$468,$845,"$1,423"
Reconstruction Era NHP,"23,378","$1,644",15,$606,"$1,171","$1,908"
Redwood NP,"622,883","$47,787",465,"$20,075","$34,752","$58,737"
Richmond NBP,"156,538","$11,015",119,"$4,647","$8,720","$14,859"
Rio Grande W&SR C,172,$134,2,$43,$86,$156
River Raisin NB,"240,556","$16,927",177,"$8,210","$14,659","$24,254"
Rock Creek P,"1,917,170","$43,866",416,"$22,457","$40,947","$62,980"
Rocky Mountain NP A,"4,154,349","$587,882","5,421","$303,569","$541,630","$861,831"
Roger Williams NMEM,"43,242","$3,043",28,"$1,656","$2,806","$4,339"
Rosie the Riveter WWII Home Front NHP,"34,913","$2,457",20,"$1,328","$2,237","$3,326"
Ross Lake NRA,"971,173","$52,924",346,"$20,944","$42,761","$61,534"
Russell Cave NM,"9,261",$652,7,$256,$471,$823
Sagamore Hill NHS,"130,259","$9,166",76,"$5,083","$8,846","$12,930"
Saguaro NP,"946,369","$73,327",736,"$37,026","$66,612","$108,195"
Saint Croix Island IHS,"13,508",$950,9,$399,$742,"$1,226"
Saint Croix NSR,"900,828","$46,999",467,"$21,981","$38,879","$64,709"
Saint Paul’s Church NHS,"12,135",$853,7,$475,$825,"$1,208"
Saint-Gaudens NHP A,"26,685","$1,632",16,$886,"$1,522","$2,335"
Salem Maritime NHS,"488,831","$34,398",327,"$19,650","$32,810","$50,578"
Salinas Pueblo Missions NM,"38,106","$2,682",28,"$1,108","$2,013","$3,456"
Salt River Bay NHP&EP,"13,185",$928,8,$407,$787,"$1,188"
San Antonio Missions NHP A,"1,278,777","$114,683","1,285","$53,944","$99,244","$171,164"
San Francisco Maritime NHP,"2,535,134","$75,269",541,"$34,034","$57,329","$86,426"
San Juan Island NHP,"405,925","$28,564",208,"$12,466","$24,934","$36,161"
San Juan NHS A,"1,329,728","$155,834","1,358","$77,616","$154,559","$229,126"
Sand Creek Massacre NHS,"6,401",$450,5,$127,$265,$490
Santa Monica Mountains NRA,"639,745","$33,816",305,"$16,851","$29,222","$46,106"
Saratoga NHP,"116,537","$8,200",78,"$3,464","$6,423","$10,383"
Saugus Iron Works NHS,"51,921","$3,654",35,"$2,085","$3,489","$5,378"
Scotts Bluff NM,"183,915","$12,942",132,"$4,211","$8,223","$14,769"
Sequoia NP A,"1,309,573","$119,767","1,106","$48,047","$84,303","$140,243"
Shenandoah NP,"1,720,211","$132,363","1,184","$61,895","$112,779","$175,083"
Shiloh NMP,"386,152","$27,173",284,"$9,694","$17,946","$32,172"
Sitka NHP,"309,327","$67,537",868,"$36,198","$56,340","$95,460"
Sleeping Bear Dunes NL A,"1,670,025","$220,283","2,098","$83,236","$164,474","$271,567"
Springfield Armory NHS,"15,925","$1,121",10,$562,$977,"$1,517"
Statue Of Liberty NM,"3,722,029","$261,914","2,216","$145,859","$252,800","$372,383"
Ste. Geneviève NHP,"23,893","$1,681",18,$536,$991,"$1,852"
Steamtown NHS A,"60,243","$3,921",43,"$1,845","$3,159","$5,268"
Stones River NB A,"446,160","$17,186",141,"$8,387","$15,318","$23,759"
Stonewall NM,"2,302,641","$162,034","1,376","$90,184","$156,521","$230,810"
Sunset Crater Volcano NM,"73,260","$5,155",49,"$1,976","$3,548","$5,938"
Tallgrass Prairie NPRES,"29,955","$2,109",24,$871,"$1,561","$2,791"
Thaddeus Kosciuszko NMEM C,"2,336",$164,2,$89,$151,$243
Theodore Roosevelt Birthplace NHS,"25,086","$1,765",15,$982,"$1,705","$2,514"
Theodore Roosevelt Inaugural NHS,"30,141","$2,121",20,$937,"$1,757","$2,806"
Theodore Roosevelt Island P,"174,954","$12,311",115,"$6,111","$11,071","$17,134"
Theodore Roosevelt NP,"732,951","$55,795",558,"$19,040","$34,640","$62,557"
"Thomas Edison NHP A,C","34,031",$828,6,$426,$706,"$1,030"
