Park Unit,"Total Recreation
Visits","Total Visitor Spending
($000s, $2019)",Jobs,"Labor Income
($000s, $2019)","Value Added
($000s, $2019)","Economic Output
($000s, $2019)"
"Black Canyon Of The Gunnison
NP","432,818","$27,599",344,"$11,743","$20,556","$33,976"
Blue Ridge PKWYa,"14,976,084","$1,125,413","16,341","$442,244","$754,647","$1,369,146"
Bluestone NSR,"37,663","$1,683",23,$648,"$1,095","$1,945"
Booker T Washington NM,"24,639","$1,466",23,$620,"$1,059","$1,911"
Boston African American NHS,"419,585","$24,956",327,"$13,877","$22,772","$35,737"
Boston NHP,"3,201,833","$190,442","2,495","$105,922","$173,790","$272,675"
Brown V Board Of Education NHS,"21,413","$1,274",21,$660,"$1,108","$1,945"
Bryce Canyon NP,"2,594,904","$222,115","3,206","$83,420","$147,909","$268,899"
Buck Island Reef NM,"37,086","$2,341",25,"$1,046","$1,907","$2,931"
Buffalo NR,"1,326,283","$59,181",857,"$21,058","$36,695","$67,794"
Cabrillo NM,"761,485","$45,292",595,"$23,576","$38,863","$61,545"
Canaveral NSa,"1,884,122","$71,561",937,"$32,434","$57,264","$95,095"
Cane River Creole NHP,"29,922","$1,780",25,$677,"$1,237","$2,186"
Canyon De Chelly NM,"460,757","$31,146",444,"$10,262","$18,858","$36,405"
Canyonlands NP,"733,995","$45,909",647,"$17,170","$30,020","$54,806"
Cape Cod NSa,"4,096,103","$520,440","6,399","$239,073","$415,535","$672,015"
Cape Hatteras NS,"2,606,631","$168,360","2,422","$66,950","$118,132","$211,088"
Cape Krusenstern NM,"16,226","$24,805",305,"$11,642","$21,792","$35,294"
Cape Lookout NS,"455,527","$20,292",282,"$6,937","$11,570","$21,724"
Capitol Reef NPa,"1,226,519","$89,789","1,185","$31,281","$55,996","$101,742"
Capulin Volcano NMa,"81,617","$2,504",35,$796,"$1,343","$2,524"
Carl Sandburg Home NHS,"78,145","$4,648",68,"$1,976","$3,340","$5,848"
Carlsbad Caverns NP,"440,691","$28,806",385,"$10,485","$17,735","$32,428"
Carter G. Woodson Home NHS,"2,380",$46,1,$25,$42,$66
Casa Grande Ruins NM,"68,380","$4,067",59,"$2,116","$3,632","$6,059"
Castillo De San Marcos NM,"673,395","$40,053",607,"$18,025","$31,298","$54,561"
Castle Clinton NM,"4,361,034","$110,133","1,110","$51,951","$85,654","$128,641"
Catoctin Mountain P,"296,845","$18,851",239,"$9,882","$16,440","$25,901"
Cedar Breaks NM,"579,860","$37,822",524,"$13,656","$24,147","$43,832"
Cesar E. Chavez NM,"16,489",$981,13,$528,$856,"$1,358"
Chaco Culture NHP,"47,342","$2,741",40,"$1,100","$1,912","$3,447"
Chamizal NMEM,"38,228","$2,274",34,$908,"$1,545","$2,856"
Channel Islands NP,"409,630","$25,285",314,"$13,835","$22,621","$35,685"
Charles Pinckney NHS,"35,495","$2,111",28,$919,"$1,607","$2,662"
"Charles Young Buffalo Soldiers
NM","14,105",$839,13,$375,$627,"$1,111"
Chattahoochee River NRA,"3,393,134","$151,634","2,164","$74,757","$126,388","$213,122"
Chesapeake & Ohio Canal NHP,"5,116,787","$98,442","1,326","$52,901","$89,474","$142,768"
"Chickamauga & Chattanooga
NMP","977,157","$58,100",870,"$23,225","$39,632","$72,150"
Chickasaw NRAa,"1,422,612","$23,444",232,"$6,115","$9,955","$18,348"
Chiricahua NM,"60,655","$3,669",52,"$1,115","$2,010","$3,896"
Christiansted NHS,"103,594","$6,162",69,"$2,863","$5,122","$7,923"
City Of Rocks NRES,"99,311","$5,907",86,"$2,214","$3,744","$6,829"
Clara Barton NHS,"4,100",$244,3,$131,$217,$341
Colonial NHPa,"3,327,269","$337,484","5,104","$127,744","$237,125","$423,579"
Colorado NM,"397,032","$25,182",352,"$9,700","$17,109","$30,731"
Congaree NPa,"159,445","$8,173",102,"$3,143","$5,606","$9,643"
Coronado NMEM,"130,328","$7,752",118,"$3,067","$5,491","$9,849"
Cowpens NB,"223,413","$14,606",207,"$7,074","$11,897","$20,162"
Crater Lake NP,"704,511","$61,780",892,"$29,210","$48,118","$82,859"
Craters Of The Moon NM&PRESa,"272,224","$9,579",136,"$3,418","$5,787","$10,979"
Cumberland Gap NHP,"704,599","$45,700",623,"$19,500","$33,534","$58,458"
Cumberland Island NS,"53,905","$2,275",32,$989,"$1,642","$2,816"
Curecanti NRA,"836,034","$37,014",452,"$14,618","$25,175","$41,922"
Cuyahoga Valley NPa,"2,237,997","$39,503",579,"$19,865","$33,169","$57,220"
Dayton Aviation Heritage NHPa,"94,708","$5,679",92,"$3,076","$5,180","$8,865"
De Soto NMEM,"187,880","$11,175",167,"$5,493","$9,494","$16,119"
Death Valley NP,"1,740,945","$147,122","1,811","$70,634","$119,244","$190,145"
Delaware Water Gap NRAa,"3,374,865","$118,076","1,621","$67,406","$112,257","$173,694"
Denali NP&PRES,"601,152","$612,770","7,490","$287,751","$541,354","$874,209"
Devils Postpile NM,"147,864","$9,667",120,"$4,090","$6,776","$11,333"
Devils Tower NM,"450,786","$29,189",402,"$11,895","$20,593","$37,193"
Dinosaur NM,"298,965","$18,044",220,"$6,868","$11,855","$20,066"
Dry Tortugas NP,"79,200","$4,836",55,"$1,953","$3,370","$5,448"
Edgar Allan Poe NHS,"15,528",$924,13,$526,$852,"$1,371"
Effigy Mounds NMa,"65,582","$4,258",68,"$1,689","$2,894","$5,313"
Eisenhower NHS,"47,277","$2,812",37,"$1,504","$2,474","$3,906"
El Malpais NM,"158,924","$9,453",147,"$3,942","$6,814","$12,434"
El Morro NM,"68,868","$4,409",63,"$1,242","$2,305","$4,602"
Eleanor Roosevelt NHS,"47,631","$2,833",34,"$1,437","$2,426","$3,737"
Eugene O'Neill NHS,"2,945",$175,2,$100,$159,$241
Everglades NP,"1,118,300","$110,371","1,508","$57,472","$101,388","$164,874"
Federal Hall NMEM,"264,849","$15,753",184,"$8,708","$14,704","$21,916"
Fire Island NS,"391,311","$17,377",186,"$8,784","$14,818","$22,023"
First Ladies NHS,"10,913",$649,10,$334,$555,$960
Flight 93 NMEM,"411,225","$24,459",384,"$12,196","$19,789","$34,383"
Florissant Fossil Beds NM,"77,339","$4,600",64,"$2,396","$4,105","$6,718"
Ford's Theatre NHS,"572,373","$11,031",143,"$6,004","$10,160","$15,901"
Fort Bowie NHS,"7,577",$451,7,$176,$315,$565
Fort Caroline NMEM,"187,657","$11,162",169,"$5,288","$9,119","$15,733"
Fort Davis NHS,"51,995","$3,093",43,"$1,037","$1,841","$3,340"
Fort Donelson NB,"254,431","$16,634",203,"$7,868","$13,189","$21,298"
Fort Frederica NM,"212,330","$12,629",185,"$5,740","$9,771","$16,775"
Fort Laramie NHS,"42,893","$2,551",37,$912,"$1,642","$3,016"
Fort Larned NHSa,"26,958","$1,659",24,$542,$956,"$1,865"
Fort Matanzas NM,"593,787","$35,318",536,"$16,026","$27,843","$48,467"
Fort McHenry NM&SHRINE,"419,545","$24,954",331,"$13,372","$22,319","$35,150"
Fort Necessity NB,"312,104","$18,557",293,"$9,557","$15,588","$26,958"
Fort Point NHS,"1,421,349","$84,541",991,"$48,363","$76,652","$116,298"
Fort Pulaski NM,"374,289","$24,470",318,"$10,241","$18,077","$30,212"
Fort Raleigh NHS,"248,139","$14,759",221,"$6,106","$10,600","$18,845"
Fort Scott NHSa,"24,069",$438,6,$136,$222,$438
Fort Smith NHS,"125,500","$7,464",118,"$2,687","$4,899","$9,251"
Fort Stanwix NMa,"97,412","$5,462",71,"$2,028","$4,016","$6,639"
Fort Sumter NM,"877,894","$52,216",702,"$22,713","$39,739","$65,933"
Fort Union NMa,"11,063",$760,10,$291,$487,$852
Fort Union Trading Post NHSa,"12,967","$1,057",12,$391,$615,"$1,037"
Fort Vancouver NHS,"1,018,215","$60,562",871,"$31,388","$52,409","$87,371"
Fort Washington P,"423,868","$25,211",322,"$13,440","$22,396","$34,877"
Fossil Butte NMa,"20,554","$1,042",13,$381,$642,"$1,118"
Franklin Delano Roosevelt MEM,"3,303,573","$63,668",826,"$34,653","$58,643","$91,777"
Frederick Douglass NHS,"61,063","$1,177",15,$640,"$1,083","$1,692"
Frederick Law Olmsted NHS,"7,791",$463,6,$257,$421,$663
"Fredericksburg & Spotsylvania
NMP","906,800","$53,936",690,"$28,104","$46,649","$73,124"
Friendship Hill NHS,"34,160","$2,032",32,"$1,036","$1,694","$2,928"
Gates Of The Arctic NP&PRES,"10,518","$16,078",198,"$7,546","$14,125","$22,877"
Gateway NRAa,"9,405,622","$254,946","3,014","$100,911","$178,701","$287,540"
Gauley River NRA,"119,282","$5,302",73,"$2,027","$3,396","$5,988"
General Grant NMEM,"113,852","$6,772",79,"$3,744","$6,326","$9,435"
George Rogers Clark NHP,"140,130","$8,335",125,"$3,136","$5,523","$10,144"
"George Washington Birthplace
NMa","139,666","$6,491",81,"$3,328","$5,469","$8,518"
George Washington Carver NMa,"49,553",$929,13,$346,$571,"$1,054"
George Washington MEM PKWY,"7,487,265","$50,125",799,"$27,906","$44,782","$73,359"
Gettysburg NMP,"925,116","$60,310",761,"$31,504","$52,386","$82,593"
Gila Cliff Dwellings NM,"66,615","$3,962",60,"$1,112","$2,018","$4,058"
Glacier Bay NP&PRESa,"672,087","$246,447","2,929","$121,238","$213,514","$402,334"
Glacier NPa,"3,049,840","$356,112","5,395","$169,133","$278,790","$501,198"
Glen Canyon NRAa,"4,330,562","$420,177","5,153","$163,428","$285,807","$494,897"
Golden Gate NRAa,"15,002,227","$1,038,146","10,606","$611,241","$979,482","$1,395,685"
Golden Spike NHSa,"108,153","$6,278",95,"$2,957","$4,994","$8,840"
Governors Island NM,"590,993","$35,152",410,"$19,432","$32,812","$48,904"
Grand Canyon NPa,"5,974,410","$891,243","11,806","$354,979","$634,575","$1,089,195"
Grand Portage NM,"94,985","$6,208",78,"$1,805","$3,358","$6,095"
Grand Teton NPa,"3,405,614","$629,536","8,638","$274,619","$463,007","$795,638"
Grant-Kohrs Ranch NHS,"25,044","$1,490",23,$687,"$1,065","$1,949"
Great Basin NP,"131,802","$7,767",108,"$2,393","$4,183","$8,018"
Great Sand Dunes NP&PRES,"527,546","$33,090",449,"$13,028","$22,828","$40,140"
Great Smoky Mountains NP,"12,547,743","$1,054,815","15,176","$482,218","$824,057","$1,427,790"
Greenbelt P,"128,702","$8,146",101,"$4,247","$7,123","$11,104"
Guadalupe Mountains NP,"188,833","$11,880",166,"$4,478","$7,807","$14,306"
Guilford Courthouse NMP,"223,901","$13,317",208,"$6,398","$10,640","$18,624"
Gulf Islands NS,"5,600,241","$249,304","3,305","$105,295","$181,992","$310,006"
Hagerman Fossil Beds NM,"23,768","$1,414",21,$649,"$1,076","$1,904"
Haleakala NP,"994,393","$64,738",684,"$29,104","$53,202","$81,590"
Hamilton Grange NMEM,"71,248","$4,238",49,"$2,335","$3,948","$5,876"
Hampton NHS,"28,233","$1,679",22,$909,"$1,511","$2,383"
Harpers Ferry NHPa,"299,576","$15,004",213,"$8,584","$14,166","$22,307"
Harry S Truman NHS,"30,745","$1,829",30,$959,"$1,602","$2,816"
Hawaii Volcanoes NP,"1,368,375","$116,455","1,279","$53,795","$99,886","$153,036"
Herbert Hoover NHS,"125,687","$7,476",115,"$3,093","$5,368","$9,663"
"Home Of Franklin D Roosevelt
NHS","147,109","$8,750",106,"$4,485","$7,540","$11,631"
Homestead NMa,"61,635","$2,072",31,$737,"$1,253","$2,348"
Hopewell Culture NHP,"60,337","$3,589",55,"$1,794","$3,011","$5,165"
Hopewell Furnace NHS,"49,861","$2,966",45,"$1,668","$2,694","$4,442"
Horseshoe Bend NMP,"45,372","$2,699",42,"$1,160","$1,996","$3,600"
Hot Springs NP,"1,467,153","$95,358","1,420","$36,590","$68,395","$124,191"
Hovenweep NM,"35,399","$2,267",31,$815,"$1,479","$2,715"
Hubbell Trading Post NHS,"50,285","$2,991",45,$997,"$1,803","$3,497"
Independence NHP,"4,532,460","$269,587","3,846","$153,404","$248,633","$400,300"
Indiana Dunes NL,"2,134,285","$95,259","1,143","$49,230","$83,336","$129,794"
Isle Royale NP,"26,410","$6,188",92,"$1,990","$3,780","$7,132"
James A Garfield NHSa,"41,304","$1,508",24,$758,"$1,266","$2,224"
Jean Lafitte NP&PRES,"590,330","$35,112",503,"$15,535","$27,451","$46,743"
Jefferson NEMa,"2,055,309","$208,188","3,494","$111,542","$186,496","$328,387"
Jewel Cave NM,"123,489","$7,345",107,"$3,046","$5,131","$9,390"
Jimmy Carter NHS,"50,789","$3,021",49,"$1,107","$1,942","$3,760"
John D Rockefeller Jr MEM PKWY,"1,426,666","$8,220",104,"$3,170","$5,560","$8,843"
John Day Fossil Beds NMa,"197,091","$9,596",127,"$3,900","$6,400","$11,159"
John F Kennedy NHS,"24,838","$1,477",19,$818,"$1,343","$2,112"
John Muir NHS,"40,725","$2,422",28,"$1,386","$2,197","$3,335"
Johnstown Flood NMEMa,"183,143","$11,523",188,"$5,942","$9,653","$16,875"
Joshua Tree NPa,"2,988,547","$149,952","1,864","$73,726","$125,566","$200,853"
Kalaupapa NHP,"69,400","$4,128",46,"$1,918","$3,431","$5,308"
Kaloko-Honokohau NHP,"232,920","$13,854",155,"$6,438","$11,515","$17,815"
Katmai NP&PRES,"84,167","$128,681","1,584","$60,394","$113,052","$183,096"
Kenai Fjords NP,"356,601","$65,496","1,118","$35,714","$54,627","$94,273"
Kennesaw Mountain NBP,"2,621,049","$155,898","2,391","$82,857","$140,747","$236,464"
Keweenaw NHP,"20,536","$1,221",18,$342,$665,"$1,292"
Kings Canyon NP,"632,111","$56,084",742,"$25,089","$41,226","$69,399"
Kings Mountain NMPa,"262,031","$10,669",155,"$5,253","$8,607","$14,588"
Klondike Gold Rush AK NHPa,"1,116,161","$175,091","2,650","$92,236","$134,233","$219,758"
Klondike Gold Rush WA NHP,"109,800","$6,531",75,"$3,146","$5,683","$8,684"
Knife River Indian Villages NHS,"10,354",$616,9,$276,$449,$814
Kobuk Valley NP,"15,766","$24,106",297,"$11,314","$21,178","$34,300"
Korean War Veterans MEM,"3,841,633","$74,038",960,"$40,298","$68,195","$106,726"
Lake Chelan NRA,"38,785","$2,831",30,"$1,346","$2,471","$3,696"
Lake Clark NP&PRES,"17,157","$26,230",323,"$12,311","$23,045","$37,322"
Lake Mead NRA,"7,499,049","$335,795","3,979","$149,784","$246,917","$396,952"
Lake Meredith NRA,"1,328,341","$58,996",786,"$22,136","$36,819","$66,789"
Lake Roosevelt NRA,"1,358,818","$60,635",740,"$23,381","$42,790","$71,096"
Lassen Volcanic NP,"517,038","$31,906",427,"$12,286","$20,404","$36,199"
Lava Beds NMa,"109,629","$4,724",57,"$1,731","$2,807","$4,932"
Lewis and Clark NHP,"270,993","$16,118",222,"$8,147","$13,845","$22,714"
Lincoln Boyhood NMEMa,"138,715","$6,725",102,"$3,029","$5,248","$9,122"
Lincoln Home NHSa,"197,817","$12,240",176,"$4,571","$8,734","$15,258"
Lincoln MEM,"7,808,182","$150,484","1,951","$81,905","$138,607","$216,922"
Little Bighorn Battlefield NM,"241,305","$14,353",220,"$6,455","$10,299","$18,854"
Little River Canyon NPRES,"649,985","$38,660",598,"$16,569","$28,443","$51,214"
"Little Rock Central High School
NHS","168,918","$10,047",159,"$4,044","$7,424","$13,500"
Longfellow NHS,"55,013","$3,272",43,"$1,818","$2,984","$4,686"
Lowell NHP,"481,536","$28,641",377,"$15,845","$26,061","$40,963"
Lyndon B Johnson NHP,"111,972","$6,660",95,"$3,348","$5,691","$9,513"
"Lyndon Baines Johnson Memorial
Grove on the Potomac NMEM","244,246","$14,528",189,"$7,769","$12,930","$20,253"
Maggie L Walker NHS,"9,601",$571,9,$258,$449,$779
Mammoth Cave NP,"551,589","$48,079",637,"$23,517","$40,341","$66,053"
Manassas NBP,"510,428","$30,360",390,"$16,182","$26,971","$42,124"
"Manhattan Project (New Mexico)
NHP","21,790","$1,296",17,$532,$888,"$1,518"
"Manhattan Project (Tennessee)
NHP","30,123",$581,8,$246,$386,$657
"Manhattan Project (Washington)
NHP","27,958",$935,11,$343,$631,"$1,025"
Manzanar NHSa,"97,381","$10,390",129,"$4,485","$7,314","$12,069"
"Marsh – Billings – Rockefeller
NHP","45,980","$2,735",36,"$1,198","$2,125","$3,476"
Martin Luther King Jr NHS,"761,649","$45,302",694,"$24,169","$41,074","$68,869"
"Martin Luther King, Jr. MEM","3,667,562","$70,683",917,"$38,472","$65,105","$101,890"
Martin Van Buren NHS,"20,623","$1,227",15,$584,"$1,005","$1,588"
"Mary McLeod Bethune Council
House NHS","3,788",$73,1,$40,$67,$105
Mesa Verde NPa,"556,204","$58,125",822,"$22,175","$39,857","$72,042"
Minidoka (Idaho) NHS,"6,275",$111,2,$37,$59,$115
Minidoka (Washington) NHS,"7,372",$438,5,$149,$293,$481
Minute Man NHP,"1,017,326","$60,510",796,"$33,563","$55,156","$86,725"
Minuteman Missile NHSa,"125,776","$9,509",137,"$3,980","$6,579","$12,118"
Mississippi NRRA,"374,682","$16,744",236,"$8,156","$13,884","$23,518"
Missouri NRR,"129,280","$5,777",81,"$2,269","$3,782","$6,830"
Mojave NPRES,"841,515","$50,050",632,"$23,935","$39,539","$63,397"
Monocacy NBa,"144,969","$5,114",72,"$2,044","$3,585","$6,099"
Montezuma Castle NM,"376,255","$22,379",322,"$11,583","$19,836","$32,839"
Moores Creek NB,"77,006","$5,029",69,"$1,853","$3,357","$5,975"
Morristown NHP,"271,330","$16,138",194,"$9,052","$15,140","$22,809"
Mount Rainier NPa,"1,501,621","$55,866",608,"$25,656","$45,985","$70,187"
Mount Rushmore NMEM,"1,963,539","$116,789","1,717","$49,158","$82,558","$151,527"
Muir Woods NMa,"812,073","$92,590",916,"$54,392","$88,543","$125,729"
Natchez NHP,"182,123","$10,832",161,"$4,325","$7,727","$13,750"
Natchez Trace PKWY,"6,296,041","$156,161","1,897","$57,511","$93,279","$161,906"
National Capital Parks Central,"1,770,794","$34,128",444,"$18,580","$31,435","$49,265"
National Capital Parks East,"1,210,641","$23,332",312,"$12,751","$21,705","$34,258"
National Park of American Samoa,"60,006","$3,569",40,"$1,659","$2,967","$4,590"
Natural Bridges NM,"88,089","$5,620",72,"$1,982","$3,525","$6,263"
Navajo NM,"49,983","$3,158",41,"$1,083","$1,941","$3,471"
New Bedford Whaling NHPa,"143,428","$7,834",108,"$4,556","$7,494","$11,665"
New Orleans Jazz NHP,"41,049","$2,442",35,"$1,125","$1,976","$3,323"
New River Gorge NR,"1,195,722","$53,403",750,"$20,637","$34,903","$62,164"
Nez Perce NHP,"216,068","$12,852",173,"$5,125","$9,400","$15,859"
Nicodemus NHSa,"3,540",$200,3,$61,$103,$199
Ninety Six NHS,"97,295","$5,787",85,"$2,501","$4,320","$7,545"
Niobrara NSRa,"60,812","$6,271",101,"$1,964","$3,377","$7,016"
Noatak NPRES,"17,216","$26,323",324,"$12,354","$23,126","$37,454"
North Cascades NP,"38,208","$1,895",19,$864,"$1,498","$2,230"
Obed W&SRa,"221,301","$4,115",47,"$1,511","$2,332","$4,034"
Ocmulgee NM,"146,925","$8,739",140,"$3,196","$5,607","$10,697"
Olympic NP,"3,245,805","$276,115","3,131","$134,438","$248,304","$377,779"
Oregon Caves NM,"65,006","$4,192",58,"$1,720","$2,839","$5,022"
Organ Pipe Cactus NM,"263,186","$16,502",230,"$8,275","$14,358","$23,942"
Ozark NSR,"1,221,488","$54,000",819,"$17,468","$29,395","$58,601"
Padre Island NS,"576,298","$25,392",345,"$9,573","$16,141","$29,155"
Palo Alto Battlefield NHP,"149,732","$8,906",136,"$3,569","$6,068","$11,256"
Paterson Great Falls NHP,"276,985","$16,475",192,"$9,136","$14,517","$21,867"
Pea Ridge NMP,"102,752","$6,112",97,"$2,516","$4,301","$7,935"
Pecos NHP,"43,833","$2,607",39,"$1,133","$1,925","$3,425"
Pennsylvania Avenue NHS,"125,035","$2,410",31,"$1,312","$2,220","$3,474"
"Perry's Victory & International
Peace MEMa","121,326","$11,067",183,"$6,197","$10,553","$17,608"
Petersburg NB,"235,691","$14,019",213,"$6,347","$11,065","$19,388"
Petrified Forest NP,"643,588","$42,045",545,"$13,954","$25,568","$46,362"
Petroglyph NM,"293,956","$17,484",266,"$7,502","$12,795","$22,986"
Pictured Rocks NL,"858,714","$38,107",477,"$11,731","$21,626","$38,321"
Pinnacles NP,"177,224","$10,541",123,"$5,313","$8,417","$12,982"
Pipe Spring NM,"27,482","$1,635",24,$607,"$1,057","$1,919"
Pipestone NM,"77,507","$4,610",68,"$2,012","$3,356","$6,005"
Piscataway P,"329,730","$19,612",251,"$10,459","$17,425","$27,132"
Point Reyes NS,"2,265,301","$102,147","1,088","$54,013","$84,991","$127,681"
"Port Chicago Naval Magazine
NMEM",831,$49,1,$28,$45,$69
President's Park,"715,911","$13,797",179,"$7,510","$12,708","$19,889"
"President William Jefferson Clinton
Birthplace Home NHS","8,758",$521,8,$186,$350,$627
Prince William Forest P,"339,693","$19,923",244,"$10,294","$17,157","$26,695"
Pu`uhonua O Honaunau NHP,"414,410","$24,649",276,"$11,454","$20,488","$31,697"
Puukohola Heiau NHS,"133,572","$7,945",89,"$3,692","$6,604","$10,216"
Rainbow Bridge NM,"115,107","$6,847",93,"$2,428","$4,295","$7,680"
Redwood NP,"504,722","$32,827",446,"$13,411","$22,121","$38,940"
Richmond NBP,"197,242","$11,732",176,"$5,241","$9,149","$16,002"
Rio Grande W&SR,324,$168,3,$53,$99,$196
River Raisin NB,"226,354","$13,463",190,"$6,651","$11,516","$18,980"
Rock Creek P,"2,416,232","$46,567",608,"$25,370","$42,917","$67,320"
Rocky Mountain NPa,"4,670,053","$313,577","4,467","$168,502","$289,999","$476,771"
Roger Williams NMEM,"59,419","$3,534",45,"$1,930","$3,186","$4,968"
"Rosie the Riveter WWII Home
Front NHP","50,405","$2,998",35,"$1,715","$2,718","$4,124"
Ross Lake NRA,"1,088,528","$49,252",495,"$22,101","$39,107","$58,587"
Russell Cave NM,"16,642",$990,15,$401,$680,"$1,234"
Sagamore Hill NHS,"36,737","$2,185",25,"$1,195","$2,027","$3,002"
Saguaro NP,"1,020,225","$66,652",928,"$33,624","$58,566","$97,662"
Saint-Gaudens NHSa,"31,759","$1,604",23,$853,"$1,469","$2,357"
Saint Croix Island IHS,"11,613",$691,10,$275,$482,$840
Saint Croix NSR,"638,257","$28,167",396,"$13,584","$22,993","$38,930"
Saint Paul's Church NHS,"18,537","$1,103",13,$605,"$1,025","$1,519"
Salem Maritime NHS,"339,238","$20,178",263,"$11,313","$18,544","$28,969"
Salinas Pueblo Missions NM,"31,672","$1,884",29,$806,"$1,374","$2,457"
Salt River Bay NHP&EP,"5,215",$310,3,$144,$258,$399
San Antonio Missions NHPa,"1,281,121","$93,973","1,380","$47,176","$83,048","$140,078"
San Francisco Maritime NHP,"4,016,598","$101,436","1,019","$48,737","$76,511","$116,464"
San Juan Island NHP,"292,507","$17,398",190,"$8,264","$14,845","$22,350"
San Juan NHS,"1,197,345","$71,217",798,"$33,094","$59,196","$91,580"
Sand Creek Massacre NHS,"5,700",$339,5,$86,$165,$344
Santa Monica Mountains NRA,"707,566","$31,619",391,"$16,598","$26,962","$42,982"
Saratoga NHP,"145,118","$8,632",113,"$3,566","$6,439","$10,643"
Saugus Iron Works NHS,"8,151",$485,6,$272,$446,$697
Scotts Bluff NM,"166,007","$9,874",139,"$3,647","$6,343","$11,348"
Sequoia NPa,"1,246,053","$96,035","1,204","$40,317","$67,044","$112,410"
Shenandoah NP,"1,425,507","$96,711","1,194","$49,470","$82,427","$128,845"
Shiloh NMP,"360,989","$21,471",329,"$7,505","$12,892","$24,827"
Sitka NHP,"232,876","$42,143",723,"$23,031","$35,105","$60,660"
Sleeping Bear Dunes NLa,"1,570,001","$173,259","2,366","$63,556","$120,471","$208,552"
Springfield Armory NHS,"20,980","$1,248",16,$652,"$1,079","$1,695"
Statue Of Liberty NM,"4,240,461","$252,219","2,940","$139,520","$235,541","$350,922"
Steamtown NHSa,"105,402","$5,815",85,"$2,898","$4,735","$7,937"
Stones River NB,"284,516","$16,923",227,"$8,627","$14,220","$23,220"
Stonewall NM,"2,088,930","$124,248","1,453","$68,699","$116,070","$173,122"
Sunset Crater Volcano NM,"108,380","$6,446",90,"$2,268","$4,041","$7,236"
Tallgrass Prairie NPRES,"33,751","$2,008",31,$846,"$1,419","$2,576"
Thaddeus Kosciuszko NMEM,"1,920",$114,2,$65,$105,$170
"Theodore Roosevelt Birthplace
NHS","25,977","$1,545",18,$854,"$1,443","$2,153"
"Theodore Roosevelt Inaugural
NHS","26,994","$1,606",22,$666,"$1,256","$2,068"
Theodore Roosevelt Island P,"151,500","$9,011",117,"$4,819","$8,020","$12,562"
Theodore Roosevelt NP,"691,658","$44,336",565,"$16,871","$28,406","$50,057"
Thomas Edison NHP,"42,224","$2,511",30,"$1,395","$2,340","$3,499"
Thomas Jefferson MEM,"3,096,896","$59,685",774,"$32,485","$54,974","$86,036"
Thomas Stone NHS,"8,020",$477,6,$255,$424,$658
Timpanogos Cave NM,"103,513","$6,157",96,"$3,090","$5,204","$9,143"
Timucuan EHP,"1,205,064","$71,676","1,085","$33,717","$58,175","$100,561"
