Park Unit,Total Visitor Visits,Recreation Spending,Jobs,Labor Income Value,Added,Output
White Sands NP,782469,$46,418,630,$17,717,$28,611,$55,724
Whitman Mission NHS,43921,$2,860,34,$1,135,$2,049,$3,427
William Howard Taft NHS,17042,$1,109,16,$595,$944,$1,687
Wilson's Creek NB,271245,$17,657,263,$7,663,$12,520,$23,912
Wind Cave NP,709001,$60,708,858,$26,758,$47,401,$86,463
Wolf Trap National Park for the Performing Arts,247862,$16,136,202,$9,163,$14,965,$24,033
Women's Rights NHP,22847,$1,831,21,$816,$1,495,$2,432
World War I MEM,573088,$12,037,131,$6,577,$10,649,$16,303
World War II M,3727167,$78,288,986,$45,342,$75,037,$120,048
World War II Valor in the Pacific NM,1185369,$222,786,2417,$112,626,$218,762,$329,180
Wrangell - St Elias NP&PRES,50189,$81,772,1152,$44,793,$71,453,$122,374
Wright Brothers MEM,482191,$31,389,461,$13,407,$22,696,$42,501
Wupatki NM,207445,$14,891,180,$6,033,$10,013,$17,527
