Park Unit,Total Recreation Visits,Total Visitor Spending ($000s),Jobs,Labor Income ($000s),Value Added ($000s),Economic Output ($000s)
Cape Cod NSa,"4,083,504","$522,958","6,417","$240,492","$418,002","$675,797"
Cape Hatteras NS,"2,648,522","$172,180","2,474","$68,598","$121,037","$216,152"
Cape Krusenstern NM,"11,369","$17,498",215,"$8,230","$15,410","$24,923"
Cape Lookout NS,"488,332","$21,905",304,"$7,505","$12,518","$23,491"
Capitol Reef NPa,"981,038","$72,429",954,"$25,289","$45,286","$82,231"
Capulin Volcano NMa,"63,335","$1,957",27,$623,"$1,052","$1,976"
Carl Sandburg Home NHS,"42,672","$2,557",37,"$1,089","$1,840","$3,221"
Carlsbad Caverns NP,"183,835","$12,100",162,"$4,413","$7,464","$13,639"
Carter G. Woodson Home NHS,548,$11,0,$6,$10,$15
Casa Grande Ruins NM,"44,269","$2,652",39,"$1,382","$2,373","$3,956"
Castillo De San Marcos NM,"251,061","$15,042",227,"$6,781","$11,775","$20,518"
Castle Clinton NM,"633,792","$16,106",162,"$7,618","$12,560","$18,852"
Catoctin Mountain P,"539,983","$35,440",448,"$18,670","$31,142","$49,041"
Cedar Breaks NM,"845,866","$55,546",768,"$20,093","$35,528","$64,455"
Cesar E. Chavez NM,"5,668",$339,4,$183,$297,$471
Chaco Culture NHP,"8,231",$525,8,$213,$374,$675
Chamizal NMEM,"19,180","$1,149",17,$460,$782,"$1,445"
Channel Islands NP,"167,290","$9,816",122,"$5,348","$8,686","$13,679"
Charles Pinckney NHS,"23,723","$1,421",19,$620,"$1,084","$1,795"
Charles Young Buffalo Soldiers NM,"2,461",$147,2,$66,$110,$195
Chattahoochee River NRA,"3,066,878","$137,982","1,966","$68,174","$115,257","$194,271"
Chesapeake & Ohio Canal NHP,"4,888,436","$94,475","1,270","$50,814","$85,913","$137,032"
Chickamauga & Chattanooga NMP,"678,414","$40,639",608,"$16,273","$27,771","$50,533"
Chickasaw NRAa,"1,348,122","$22,336",218,"$5,787","$9,467","$17,456"
Chiricahua NM,"44,794","$2,746",39,$836,"$1,510","$2,926"
Christiansted NHS,"23,816","$1,427",16,$670,"$1,198","$1,852"
City of Rocks NRES,"110,202","$6,603",96,"$2,479","$4,192","$7,643"
Clara Barton NHS,449,$27,0,$14,$24,$38
Colonial NHPa,"2,946,595","$301,179","4,549","$114,145","$211,882","$378,328"
Colorado NM,"435,625","$28,060",392,"$10,836","$19,134","$34,356"
Congaree NPa,"119,306","$6,186",77,"$2,387","$4,259","$7,321"
Coronado NMEM,"156,200","$9,359",143,"$3,709","$6,640","$11,906"
Cowpens NB,"226,902","$14,938",211,"$7,248","$12,191","$20,649"
Crater Lake NP,"670,501","$58,562",843,"$27,714","$45,622","$78,495"
Craters of the Moon NM&PRESa,"250,871","$8,880",126,"$3,175","$5,374","$10,188"
Cumberland Gap NHP,"735,447","$47,992",653,"$20,516","$35,278","$61,463"
Cumberland Island NS,"37,295","$1,614",22,$704,"$1,178","$2,022"
Curecanti NRA,"921,584","$41,107",501,"$16,272","$28,032","$46,653"
Cuyahoga Valley NPa,"2,755,628","$48,457",709,"$24,396","$40,703","$70,207"
Dayton Aviation Heritage NHPa,"39,852","$2,408",39,"$1,306","$2,199","$3,762"
De Soto NMEM,"196,114","$11,750",175,"$5,786","$10,000","$16,971"
Death Valley NP,"820,023","$68,752",845,"$33,079","$55,548","$88,425"
Delaware Water Gap NRAa,"4,068,529","$143,608","1,968","$82,119","$136,771","$211,591"
Denali NP&PRES,"54,849","$57,713",703,"$27,170","$51,229","$82,511"
Devils Postpile NM,"108,589","$7,149",89,"$3,030","$5,020","$8,392"
Devils Tower NM,"423,997","$27,914",385,"$11,394","$19,765","$35,690"
Dinosaur NM,"264,145","$16,516",202,"$6,312","$10,941","$18,521"
Dry Tortugas NP,"48,542","$2,981",34,"$1,206","$2,080","$3,362"
Dwight D. Eisenhower MEMb,"187,328","$3,638",47,"$1,983","$3,356","$5,250"
Edgar Allan Poe NHS,"2,417",$145,2,$83,$134,$215
Effigy Mounds NMa,"18,225","$1,192",19,$473,$811,"$1,489"
Eisenhower NHS,"7,926",$475,6,$254,$419,$661
El Malpais NM,"139,336","$8,348",130,"$3,488","$6,028","$10,995"
El Morro NM,"36,328","$2,343",33,$661,"$1,227","$2,449"
Eleanor Roosevelt NHS,"9,575",$574,7,$291,$492,$758
Eugene O'Neill NHS,"14,423",$864,10,$495,$785,"$1,190"
Everglades NP,"702,319","$69,129",944,"$36,046","$63,416","$103,057"
Federal Hall NMEM,"13,823",$828,10,$459,$775,"$1,154"
Fire Island NS,"250,449","$11,166",120,"$5,650","$9,526","$14,156"
First Ladies NHS,"2,406",$144,2,$74,$124,$214
Flight,93,NMEM,"244,364","$14,641",229,"$7,313"
Florissant Fossil Beds NM,"61,081","$3,660",51,"$1,909","$3,271","$5,352"
Ford's Theatre NHS,"56,058","$1,089",14,$593,"$1,004","$1,571"
Fort Bowie NHS,"6,455",$387,6,$151,$271,$485
Fort Caroline NMEM,"404,476","$24,234",366,"$11,500","$19,833","$34,203"
Fort Davis NHS,"35,920","$2,152",30,$723,"$1,283","$2,327"
Fort Donelson NB,"325,496","$21,429",261,"$10,155","$17,023","$27,475"
Fort Frederica NM,"210,893","$12,636",184,"$5,753","$9,793","$16,806"
Fort Laramie NHS,"26,066","$1,562",23,$559,"$1,007","$1,848"
Fort Larned NHSa,"21,895","$1,357",20,$444,$784,"$1,527"
Fort Matanzas NM,"543,590","$32,569",493,"$14,804","$25,720","$44,752"
Fort McHenry NM&SHRINE,"163,224","$9,779",130,"$5,250","$8,762","$13,793"
Fort Necessity NB,"199,802","$11,966",189,"$6,173","$10,069","$17,407"
Fort Point NHS,"884,537","$52,996",620,"$30,370","$48,135","$73,000"
Fort Pulaski NM,"357,971","$23,567",306,"$9,882","$17,443","$29,136"
Fort Raleigh NHS,"153,519","$9,198",137,"$3,812","$6,617","$11,760"
Fort Scott NHSa,"14,652",$268,4,$84,$136,$269
Fort Smith NHS,"67,575","$4,049",64,"$1,460","$2,662","$5,024"
Fort Stanwix NMa,"24,133","$1,363",18,$507,"$1,004","$1,659"
Fort Sumter NM,"365,132","$21,877",294,"$9,532","$16,678","$27,659"
Fort Union NMa,"5,335",$369,5,$141,$237,$415
Fort Union Trading Post NHSa,"5,226",$429,5,$159,$250,$421
Fort Vancouver NHS,"670,111","$40,149",576,"$20,844","$34,804","$57,999"
Fort Washington P,"160,289","$9,604",123,"$5,129","$8,546","$13,303"
Fossil Butte NMa,"13,176",$673,9,$246,$416,$723
Franklin Delano Roosevelt MEM,"1,010,986","$19,633",254,"$10,701","$18,110","$28,332"
Frederick Douglass NHS,"10,969",$213,3,$116,$196,$307
Frederick Law Olmsted NHS,"2,569",$154,2,$85,$140,$220
Fredericksburg & Spotsylvania NMP,"838,836","$50,258",642,"$26,234","$43,544","$68,227"
Friendship Hill NHS,"19,463","$1,166",18,$596,$974,"$1,683"
Gates of the Arctic NP&PRES,"2,872","$4,417",54,"$2,078","$3,890","$6,292"
Gateway Arch NPa,"486,021","$49,611",831,"$26,614","$44,498","$78,336"
Gateway NRAa,"8,404,728","$229,246","2,708","$90,973","$161,107","$259,051"
Gauley River NRA,"109,377","$4,918",68,"$1,886","$3,165","$5,577"
General Grant NMEM,"24,475","$1,466",17,$812,"$1,372","$2,046"
George Rogers Clark NHP,"56,107","$3,362",50,"$1,267","$2,232","$4,097"
George Washington Birthplace NMa,"41,970","$1,964",24,"$1,009","$1,658","$2,582"
George Washington Carver NMa,"26,570",$502,7,$187,$309,$570
George Washington MEM PKWY,"6,237,361","$42,086",670,"$23,453","$37,635","$61,636"
Gettysburg NMP,"536,552","$35,324",445,"$18,494","$30,761","$48,473"
Gila Cliff Dwellings NM,"31,645","$1,896",29,$533,$967,"$1,944"
Glacier Bay NP&PRESa,"5,748","$2,061",26,"$1,045","$1,755","$3,161"
Glacier NPa,"1,698,865","$203,591","3,082","$96,935","$159,886","$287,295"
Glen Canyon NRAa,"2,553,393","$252,788","3,084","$99,641","$172,981","$297,859"
Golden Gate NRAa,"12,400,044","$684,875","6,862","$397,545","$639,409","$909,768"
Golden Spike NHSa,"53,106","$3,104",47,"$1,465","$2,474","$4,378"
Governors Island NM,"102,915","$6,166",72,"$3,415","$5,766","$8,590"
Grand Canyon NPa,"2,897,098","$433,426","5,730","$172,989","$309,269","$530,327"
Grand Portage NM,"66,427","$4,372",55,"$1,273","$2,369","$4,298"
Grand Teton NPa,"3,289,638","$598,240","8,176","$260,898","$439,161","$754,041"
Grant-Kohrs Ranch NHS,"15,328",$918,14,$424,$658,"$1,203"
Great Basin NP,"120,247","$7,121",99,"$2,199","$3,842","$7,358"
Great Sand Dunes NP&PRES,"461,532","$29,512",400,"$11,652","$20,452","$35,949"
Great Smoky Mountains NP,"12,095,721","$1,024,024","14,707","$468,985","$801,570","$1,387,955"
Greenbelt P,"28,319","$1,864",23,$977,"$1,645","$2,563"
Guadalupe Mountains NP,"151,256","$9,673",135,"$3,653","$6,379","$11,690"
Guilford Courthouse NMP,"186,020","$11,145",174,"$5,363","$8,920","$15,607"
Gulf Islands NS,"4,012,130","$180,249","2,386","$76,300","$132,013","$224,800"
Hagerman Fossil Beds NM,"14,113",$846,13,$389,$645,"$1,140"
Haleakala NP,"319,147","$20,936",221,"$9,508","$17,381","$26,641"
Hamilton Grange NMEM,"23,015","$1,379",16,$761,"$1,287","$1,914"
Hampton NHS,"8,728",$523,7,$283,$472,$743
Harpers Ferry NHPa,"234,473","$11,832",168,"$6,779","$11,188","$17,610"
Harry S Truman NHS,"9,446",$566,9,$297,$497,$873
Hawaii Volcanoes NP,"589,775","$50,224",552,"$23,398","$43,424","$66,516"
Herbert Hoover NHS,"56,270","$3,371",52,"$1,397","$2,425","$4,363"
Home of Franklin D Roosevelt NHS,"40,091","$2,402",29,"$1,233","$2,074","$3,197"
Homestead NMa,"40,897","$1,384",20,$493,$839,"$1,571"
Hopewell Culture NHP,"35,711","$2,140",33,"$1,071","$1,798","$3,083"
Hopewell Furnace NHS,"34,287","$2,054",31,"$1,157","$1,869","$3,081"
Horseshoe Bend NMP,"28,600","$1,714",27,$738,"$1,269","$2,289"
Hot Springs NP,"1,348,215","$88,090","1,310","$33,858","$63,281","$114,842"
Hovenweep NM,"19,856","$1,285",18,$463,$841,"$1,543"
Hubbell Trading Post NHS,"11,407",$684,10,$228,$413,$800
Independence NHP,"907,089","$54,347",774,"$30,979","$50,211","$80,807"
Indiana Dunes NL,"2,293,106","$103,047","1,234","$53,371","$90,347","$140,651"
Isle Royale NP,"6,493","$1,104",17,$344,$622,"$1,200"
James A Garfield NHSa,"14,797",$544,9,$274,$458,$804
Jean Lafitte NP&PRES,"192,600","$11,540",165,"$5,114","$9,038","$15,382"
Jewel Cave NM,"35,878","$2,150",31,$893,"$1,504","$2,752"
Jimmy Carter NHS,"14,268",$855,14,$314,$550,"$1,065"
John D Rockefeller Jr MEM PKWY,"1,373,817","$8,259",104,"$3,211","$5,636","$8,958"
John Day Fossil Beds NMa,"88,572","$4,343",58,"$1,769","$2,902","$5,058"
John F Kennedy NHS,451,$27,0,$15,$25,$39
John Muir NHS,"33,602","$2,013",24,"$1,154","$1,829","$2,775"
Johnstown Flood NMEMa,"87,805","$5,567",91,"$2,874","$4,670","$8,161"
Joshua Tree NPa,"2,399,542","$121,857","1,512","$60,065","$102,413","$163,752"
Kalaupapa NHP,"15,848",$950,11,$446,$797,"$1,233"
Kaloko-Honokohau NHP,"133,877","$8,021",90,"$3,764","$6,734","$10,413"
Katahdin Woods and Waters NMb,"41,432","$2,724",38,$999,"$1,841","$3,271"
Katmai NP&PRES,"51,511","$79,269",975,"$37,287","$69,812","$112,909"
Kenai Fjords NP,"115,882","$21,215",363,"$11,597","$17,692","$30,560"
Kennesaw Mountain NBP,"2,356,400","$141,182","2,161","$75,165","$127,684","$214,432"
Keweenaw NHP,"2,130",$128,2,$36,$70,$135
Kings Canyon NP,"415,077","$35,782",468,"$15,902","$26,344","$44,391"
Kings Mountain NMPa,"249,477","$10,228",148,"$5,045","$8,267","$14,006"
Klondike Gold Rush AK NHPa,297,$50,1,$26,$38,$62
Klondike Gold Rush WA NHP,"13,002",$779,9,$376,$679,"$1,037"
Knife River Indian Villages NHS,"5,263",$315,5,$142,$231,$417
Kobuk Valley NP,"11,185","$17,214",212,"$8,097","$15,161","$24,520"
Korean War Veterans MEM,"1,363,714","$26,482",343,"$14,435","$24,428","$38,216"
Lake Chelan NRA,"30,599","$2,149",23,"$1,018","$1,865","$2,790"
Lake Clark NP&PRES,"4,948","$7,617",94,"$3,583","$6,709","$10,850"
Lake Mead NRA,"8,016,509","$360,764","4,266","$161,171","$265,985","$427,513"
Lake Meredith NRA,"1,612,785","$72,166",961,"$27,137","$45,152","$81,869"
Lake Roosevelt NRA,"1,519,403","$68,533",835,"$26,478","$48,554","$80,645"
Lassen Volcanic NP,"542,274","$33,295",444,"$12,835","$21,287","$37,718"
Lava Beds NMa,"111,259","$4,850",58,"$1,777","$2,896","$5,090"
Lewis and Clark NHP,"161,231","$9,660",133,"$4,891","$8,312","$13,631"
Lincoln Boyhood NMEMa,"110,691","$5,407",82,"$2,439","$4,226","$7,343"
Lincoln Home NHSa,"27,744","$1,730",25,$647,"$1,236","$2,158"
Lincoln MEM,"2,980,074","$57,871",749,"$31,544","$53,382","$83,513"
Little Bighorn Battlefield NM,"97,461","$5,839",90,"$2,631","$4,197","$7,681"
Little River Canyon NPRES,"802,375","$48,074",743,"$20,639","$35,431","$63,766"
Little Rock Central High School NHS,"68,498","$4,104",65,"$1,655","$3,038","$5,521"
Longfellow NHS,"30,015","$1,798",24,"$1,001","$1,643","$2,579"
Lowell NHP,"53,954","$3,232",42,"$1,791","$2,946","$4,629"
Lyndon B Johnson NHP,"75,322","$4,513",64,"$2,273","$3,863","$6,454"
Lyndon Baines Johnson Memorial,"211,228","$12,656",164,"$6,780","$11,283","$17,666"
Maggie L Walker NHS,"1,849",$111,2,$50,$87,$151
Mammoth Cave NP,"290,392","$25,146",333,"$12,307","$21,089","$34,507"
Manassas NBP,"558,036","$33,434",429,"$17,851","$29,754","$46,451"
Manhattan Project (New Mexico),"1,517",$91,1,$37,$62,$107
Manhattan Project (Tennessee) NHP,"9,610",$187,2,$79,$124,$211
Manhattan Project (Washington) NHP,264,$9,0,$3,$6,$10
Manzanar NHSa,"65,288","$7,015",87,"$3,034","$4,947","$8,160"
Marsh - Billings - Rockefeller NHP,"23,537","$1,410",19,$619,"$1,098","$1,794"
Martin Luther King Jr NHS,"198,158","$11,873",181,"$6,345","$10,783","$18,073"
"Martin Luther King, Jr. MEM","1,083,671","$21,044",272,"$11,471","$19,412","$30,369"
Martin Van Buren NHS,"11,480",$688,9,$328,$565,$892
Mary McLeod Bethune Council,577,$11,0,$6,$10,$16
Mesa Verde NPa,"287,477","$30,196",425,"$11,524","$20,724","$37,437"
Minidoka (Idaho) NHS,"4,764",$85,1,$29,$45,$88
Minidoka (Washington) NHS,"1,983",$119,1,$41,$79,$130
Minute Man NHP,"1,083,972","$64,945",853,"$36,086","$59,302","$93,206"
Minuteman Missile NHS,"98,908","$7,531",108,"$3,158","$5,220","$9,611"
Mississippi NRRA,"204,707","$9,210",129,"$4,496","$7,653","$12,959"
Missouri NRR,"111,603","$5,021",70,"$1,977","$3,294","$5,946"
Mojave NPRES,"608,634","$36,453",459,"$17,462","$28,845","$46,228"
Monocacy NBa,"155,116","$5,512",78,"$2,207","$3,871","$6,582"
Montezuma Castle NM,"242,028","$14,501",208,"$7,518","$12,875","$21,307"
Moores Creek NB,"58,785","$3,869",53,"$1,428","$2,588","$4,604"
Morristown NHP,"262,361","$15,719",189,"$8,833","$14,772","$22,246"
Mount Rainier NPa,"1,160,753","$41,074",445,"$18,741","$33,547","$51,251"
Mount Rushmore NMEM,"2,074,985","$124,321","1,825","$52,418","$88,035","$161,507"
Muir Woods NMa,"324,232","$37,255",368,"$21,912","$35,670","$50,622"
Natchez NHP,"57,646","$3,454",51,"$1,381","$2,468","$4,390"
Natchez Trace PKWY,"6,124,809","$152,711","1,854","$56,413","$91,516","$158,712"
National Capital Parks Central,"665,650","$12,926",168,"$7,048","$11,924","$18,681"
National Capital Parks East,"893,421","$17,350",232,"$9,495","$16,164","$25,502"
National Park of American Samoa,"4,819",$289,3,$136,$242,$375
Natural Bridges NM,"52,542","$3,398",43,"$1,202","$2,139","$3,798"
Navajo NM,"3,985",$256,3,$88,$158,$282
New Bedford Whaling NHPa,"18,244","$1,004",14,$585,$962,"$1,497"
New Orleans Jazz NHP,"9,639",$578,8,$267,$468,$787
New River Gorge NR,"1,054,375","$47,432",665,"$18,371","$31,075","$55,318"
Nez Perce NHP,"301,472","$18,062",242,"$7,216","$13,235","$22,317"
Nicodemus NHSa,263,$15,0,$5,$8,$15
Ninety Six NHS,"95,417","$5,717",84,"$2,475","$4,275","$7,463"
Niobrara NSRa,"102,767","$10,671",173,"$3,350","$5,758","$11,952"
Noatak NPRES,"12,533","$19,287",237,"$9,072","$16,986","$27,472"
North Cascades NP,"30,885","$1,528",15,$698,"$1,207","$1,795"
Obed W&SRa,"237,837","$4,507",52,"$1,672","$2,580","$4,456"
Ocmulgee NM,"61,302","$3,673",59,"$1,346","$2,361","$4,501"
Olympic NP,"2,499,178","$213,024","2,412","$103,933","$191,636","$291,362"
Oregon Caves NM,"22,789","$1,480",20,$608,"$1,004","$1,776"
Organ Pipe Cactus NM,"191,512","$11,881",166,"$5,953","$10,315","$17,198"
Ozark NSR,"1,316,795","$58,457",888,"$18,926","$31,824","$63,434"
Padre Island NS,"617,704","$27,503",373,"$10,388","$17,547","$31,697"
Palo Alto Battlefield NHP,"97,861","$5,863",89,"$2,354","$4,002","$7,420"
Paterson Great Falls NHP,"339,768","$20,357",236,"$11,309","$17,969","$27,055"
Pea Ridge NMP,"80,455","$4,820",76,"$1,988","$3,399","$6,267"
Pecos NHP,"36,695","$2,199",33,$957,"$1,626","$2,892"
Pennsylvania Avenue NHS,"15,897",$309,4,$168,$285,$445
Perry's Victory & International Peace,"40,470","$3,722",62,"$2,086","$3,552","$5,925"
Petersburg NB,"152,878","$9,160",139,"$4,154","$7,242","$12,684"
Petrified Forest NP,"384,484","$25,308",328,"$8,416","$15,422","$27,947"
Petroglyph NM,"356,493","$21,359",324,"$9,180","$15,658","$28,117"
Pictured Rocks NL,"1,212,251","$54,244",679,"$16,734","$30,877","$54,681"
Pinnacles NPb,"165,741","$10,336",114,"$5,044","$8,068","$12,412"
Pipe Spring NM,"10,623",$637,9,$237,$412,$748
Pipestone NM,"38,230","$2,291",34,"$1,001","$1,670","$2,987"
Piscataway P,"166,484","$9,975",127,"$5,329","$8,878","$13,818"
Point Reyes NS,"2,252,424","$101,434","1,077","$53,665","$84,413","$126,746"
Port Chicago Naval Magazine NMEM,70,$4,0,$3,$4,$6
President's Park,"369,533","$7,176",93,"$3,912","$6,619","$10,356"
President William Jefferson Clinton,"4,055",$243,4,$87,$164,$293
Prince William Forest P,"333,902","$21,084",258,"$11,002","$18,476","$28,742"
Pu`uhonua O Honaunau NHP,"130,845","$7,839",88,"$3,679","$6,581","$10,177"
Puukohola Heiau NHS,"23,969","$1,436",16,$674,"$1,206","$1,864"
Rainbow Bridge NM,"3,572",$214,3,$76,$135,$240
Redwood NP,"265,177","$17,311",235,"$7,085","$11,681","$20,548"
Richmond NBP,"179,599","$10,761",161,"$4,816","$8,406","$14,697"
Rio Grande W&SR,126,$109,2,$34,$64,$127
River Raisin NB,"309,977","$18,572",262,"$9,191","$15,914","$26,216"
Rock Creek P,"1,768,153","$34,336",447,"$18,734","$31,692","$49,694"
Rocky Mountain NPa,"3,305,200","$224,393","3,190","$120,843","$208,088","$341,950"
Roger Williams NMEM,"13,970",$837,11,$458,$756,"$1,178"
Rosie the Riveter WWII Home Front,"9,528",$571,7,$327,$518,$786
Ross Lake NRA,"920,525","$41,436",415,"$18,611","$32,845","$49,180"
Russell Cave NM,"8,463",$507,8,$206,$349,$633
Sagamore Hill NHS,"105,289","$6,308",72,"$3,456","$5,862","$8,679"
Saguaro NP,"762,226","$50,105",696,"$25,321","$44,102","$73,510"
Saint-Gaudens NHSa,"13,286",$676,9,$360,$620,$995
Saint Croix Island IHS,"6,914",$414,6,$165,$289,$504
Saint Croix NSR,"798,622","$35,470",498,"$17,142","$29,014","$49,102"
Saint Paul's Church NHS,"5,968",$358,4,$196,$333,$493
Salem Maritime NHS,"125,554","$7,522",98,"$4,225","$6,925","$10,814"
Salinas Pueblo Missions NM,"26,983","$1,617",24,$693,"$1,181","$2,111"
Salt River Bay NHP&EP,"2,705",$162,2,$76,$136,$210
San Antonio Missions NHPa,"1,141,353","$84,344","1,237","$42,405","$74,650","$125,848"
San Francisco Maritime NHP,"1,936,101","$49,204",494,"$23,705","$37,213","$56,610"
San Juan Island NHP,"426,336","$25,544",279,"$12,154","$21,833","$32,855"
San Juan NHS,"357,100","$21,395",240,"$10,041","$17,961","$27,775"
Sand Creek Massacre NHS,"4,215",$253,4,$64,$123,$256
Santa Monica Mountains NRA,"733,576","$33,004",407,"$17,363","$28,205","$44,943"
Saratoga NHP,"73,825","$4,423",58,"$1,831","$3,305","$5,461"
Saugus Iron Works NHS,"16,928","$1,014",13,$569,$934,"$1,459"
Scotts Bluff NM,"181,900","$10,898",154,"$4,032","$7,013","$12,541"
Sequoia NPa,"796,085","$60,870",760,"$25,531","$42,592","$71,424"
Shenandoah NP,"1,666,265","$107,396","1,314","$54,482","$90,608","$141,577"
Shiloh NMP,"386,883","$23,180",355,"$8,116","$13,943","$26,835"
Sitka NHP,"115,494","$21,072",361,"$11,525","$17,568","$30,354"
Sleeping Bear Dunes NLa,"1,718,696","$192,691","2,625","$70,739","$134,399","$232,599"
Springfield Armory NHS,"1,032",$62,1,$32,$54,$84
Statue of Liberty NM,"576,395","$34,534",402,"$19,136","$32,307","$48,112"
Steamtown NHSa,"27,320","$1,518",22,$758,"$1,238","$2,075"
Stones River NB,"301,270","$18,050",242,"$9,218","$15,194","$24,800"
Stonewall NMc,0,$0,0,$0,$0,$0
Sunset Crater Volcano NM,"83,669","$5,013",70,"$1,767","$3,148","$5,634"
Tallgrass Prairie NPRES,"29,009","$1,738",26,$734,"$1,231","$2,233"
Thaddeus Kosciuszko NMEMc,0,$0,0,$0,$0,$0
Theodore Roosevelt Birthplace NHS,"4,984",$299,3,$165,$280,$417
Theodore Roosevelt Inaugural NHS,"5,098",$305,4,$127,$239,$394
Theodore Roosevelt Island P,"153,599","$9,203",119,"$4,930","$8,205","$12,846"
Theodore Roosevelt NP,"551,304","$36,222",462,"$13,799","$23,317","$41,119"
Thomas Edison NHP,"7,605",$456,5,$254,$425,$636
Thomas Jefferson MEM,"852,626","$16,557",214,"$9,025","$15,273","$23,894"
Thomas Stone NHS,"2,351",$141,2,$75,$125,$195
Timpanogos Cave NM,"92,481","$5,541",86,"$2,786","$4,692","$8,240"
Timucuan EHP,"1,017,372","$60,955",920,"$28,723","$49,559","$85,633"
Tonto NM,"24,755","$1,483",21,$770,"$1,322","$2,199"
Tumacacori NHP,"23,726","$1,421",22,$563,"$1,008","$1,807"
Tuskegee Airmen NHS,"6,844",$410,6,$153,$267,$506
Tuskegee Institute NHS,"4,737",$284,4,$106,$185,$350
Tuzigoot NM,"78,358","$4,695",67,"$2,447","$4,185","$6,912"
Ulysses S Grant NHS,"15,236",$913,15,$471,$783,"$1,364"
Upper Delaware NSR&NRR,"250,198","$11,257",119,"$5,426","$9,129","$13,606"
Valles Caldera NPRESb,"30,435","$2,004",28,$853,"$1,481","$2,601"
Valley Forge NHPa,"2,012,832","$26,145",413,"$14,923","$24,181","$39,795"
Vanderbilt Mansion NHS,"217,231","$13,015",158,"$6,680","$11,228","$17,305"
Vicksburg NMP,"176,236","$10,559",170,"$4,318","$7,597","$14,085"
Vietnam Veterans MEM,"1,585,525","$30,790",398,"$16,783","$28,402","$44,433"
Virgin Islands NPa,"167,540","$24,126",292,"$11,904","$22,171","$34,218"
