Total Visitor,Economic
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
Tonto NM,24755,$1483,21,770,$1322,$2199
Tumacacori NHP,23726,$1421,22,563,$1008,$1807
Tuskegee Airmen NHS,6844,410,6,153,267,506
Tuskegee Institute NHS,4737,284,4,106,185,350
Tuzigoot NM,78358,$4695,67,$2447,$4185,$6912
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
Ulysses S Grant NHS,15236,913,15,471,783,$1364
Upper Delaware NSR&NRR,250198,$11257,119,$5426,$9129,$13606
Valles Caldera NPRESb,30435,$2004,28,853,$1481,$2601
Valley Forge NHPa,2012832,$26145,413,$14923,$24181,$39795
Vanderbilt Mansion NHS,217231,$13015,158,$6680,$11228,$17305
Vicksburg NMP,176236,$10559,170,$4318,$7597,$14085
Vietnam Veterans MEM,1585525,$30790,398,$16783,$28402,$44433
Virgin Islands NPa,167540,$24126,292,$11904,$22171,$34218
Voyageurs NP,263092,$21474,310,$8123,$14453,$26221
Waco Mammoth NM,46456,$2783,40,$1135,$1994,$3493
Walnut Canyon NM,107423,$6436,90,$2269,$4042,$7233
War in The Pacific NHP,318711,$19095,214,$8962,$16030,$24789
Washington Monument,83585,$1623,21,885,$1497,$2342
Washita Battlefield NHS,12520,750,11,248,432,843
Weir Farm NHS,25431,$1524,17,832,$1411,$2089
Whiskeytown NRA,805294,$36169,461,$14103,$22773,$39521
White House,114519,$2224,29,$1212,$2051,$3209
White Sands NPa,415383,$22487,309,$8235,$14056,$26050
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
Whitman Mission NHS,34932,$2093,26,769,$1437,$2392
William Howard Taft NHS,11100,665,10,330,552,951
Wilson's Creek NB,287261,$17211,271,$7159,$11977,$22115
Wind Cave NPa,448406,$37468,546,$16339,$28363,$50993
Wolf Trap National Park for the Performing Arts,30072,$1802,24,968,$1609,$2526
Women's Rights NHPa,8237,612,8,254,486,787
World War II Memorial,1924128,$37365,483,$20367,$34467,$53922
World War II Valor in the Pacific NMa,415542,$74024,823,$37132,$72368,$109604
Wrangell - St Elias NP&PRES,16655,$25629,315,$12055,$22571,$36504
Wright Brothers NMEM,277963,$16654,249,$6935,$12108,$21495
Wupatki NM,146074,$9617,127,$3377,$6079,$10807
Yellowstone NP a,3806306,$444226,6110,$194281,$325551,$560441
Yosemite NPa,2268313,$273842,3410,$122220,$208964,$346676
Yukon - Charley Rivers NPRES,666,563,5,235,531,797
Zion NPa,3591254,$207909,3464,$80997,$142615,$276812
