Park Unit,"Total
Recreation
Visits","Total Visitor
Spending
($000s, $2023)",Jobs,"Labor Income
($000s, $2023)","Value Added
($000s, $2023)","Economic
Output
($000s, $2023)"
Chickasaw NRA A,"2,082,326","$40,556",370,"$10,330","$16,813","$34,005"
Chiricahua NM,"62,582","$4,229",51,"$1,467","$2,493","$4,561"
Christiansted NHS,"107,171","$7,178",73,"$3,333","$5,986","$9,251"
City of Rocks NRES,"92,059","$6,165",81,"$2,327","$3,958","$7,333"
Clara Barton NHS,"4,223",$283,3,$160,$262,$421
Colonial NHP A,"2,691,931","$299,705","4,433","$127,185","$217,247","$402,914"
Colorado NM,"486,179","$34,997",448,"$13,686","$23,682","$43,714"
Congaree NP A,"250,114","$14,881",173,"$5,713","$10,182","$17,955"
Coronado NMEM,"140,089","$9,381",123,"$4,180","$6,948","$12,311"
Cowpens NB,"226,369","$16,706",229,"$8,375","$13,891","$24,299"
Crater Lake NP,"559,976","$55,235",780,"$29,848","$45,883","$80,551"
Craters of the Moon NM&PRES A,"257,598","$10,301",136,"$3,780","$6,346","$12,135"
Cumberland Gap NHP A,"797,346","$25,634",312,"$8,823","$15,023","$27,833"
Cumberland Island NS,"73,812","$3,609",47,"$1,617","$2,691","$4,780"
Curecanti NRA,"957,635","$48,137",539,"$19,415","$32,221","$56,415"
"Cuyahoga Valley NP A,B","2,860,059","$138,684","2,136","$83,701","$130,956","$224,751"
Dayton Aviation Heritage NHP A,"89,976","$6,023",95,"$3,501","$5,604","$9,941"
De Soto NMEM,"231,892","$15,530",220,"$7,913","$13,250","$23,350"
Death Valley NP C,"1,099,632","$103,270","1,203","$50,595","$85,582","$137,280"
"Delaware Water Gap NRA A,B","4,207,541","$166,324","2,236","$96,175","$144,630","$235,598"
Denali NP&PRES,"498,722","$559,409","7,785","$306,273","$491,620","$840,346"
Devils Postpile NM,"86,132","$6,357",76,"$2,874","$4,601","$7,937"
Devils Tower NM,"511,205","$37,603",492,"$14,889","$26,326","$48,944"
"Dinosaur NM A,B","326,529","$24,120",336,"$7,995","$14,632","$28,403"
Dry Tortugas NP,"84,285","$5,885",62,"$2,364","$4,010","$6,671"
Dwight D. Eisenhower MEM,"667,492","$14,428",179,"$8,328","$13,782","$22,108"
Edgar Allan Poe NHS,"15,473","$1,036",14,$634,$985,"$1,644"
Effigy Mounds NM A,"61,795","$4,502",68,"$1,826","$3,003","$5,809"
Eisenhower NHS,"98,837","$6,620",81,"$3,733","$5,993","$9,681"
El Malpais NM,"167,107","$11,191",158,"$4,682","$8,031","$14,995"
El Morro NM,"54,836","$3,987",52,"$1,205","$2,191","$4,319"
Eleanor Roosevelt NHS,"17,190","$1,151",13,$626,"$1,009","$1,613"
Eugene O'Neill NHS,"15,537","$1,041",11,$616,$948,"$1,459"
"Everglades NP A,B","810,189","$120,646","1,749","$72,267","$120,342","$198,231"
"Federal Hall NMEM A,B","76,750","$4,777",51,"$3,060","$4,933","$6,897"
Fire Island NS,"298,958","$15,084",147,"$8,246","$13,403","$20,248"
First Ladies NHS,"11,187",$749,11,$413,$651,"$1,152"
First State NHP,"143,045","$9,580",127,"$5,873","$9,103","$14,882"
Flight 93 NMEM,"377,810","$25,303",360,"$13,515","$21,008","$37,178"
Florissant Fossil Beds NM,"63,739","$4,269",55,"$2,312","$3,808","$6,444"
Ford's Theatre NHS,"393,214","$8,500",106,"$4,906","$8,119","$13,024"
Fort Bowie NHS A,"8,333",$358,4,$131,$219,$382
Fort Caroline NMEM,"324,004","$21,699",309,"$10,515","$17,856","$31,683"
Fort Davis NHS,"40,189","$2,692",34,"$1,017","$1,571","$2,894"
"Fort Donelson NB A,B","179,950","$5,906",77,"$2,145","$3,406","$6,290"
Fort Frederica NM,"286,017","$19,156",266,"$9,063","$15,128","$26,654"
Fort Laramie NHS A,"47,155","$1,471",18,$478,$791,"$1,559"
Fort Larned NHS A,"26,113","$1,828",24,$580,"$1,062","$2,060"
Fort Matanzas NM,"711,543","$47,654",680,"$22,270","$38,079","$68,331"
Fort McHenry NM&SHRINE,"429,967","$28,796",358,"$16,222","$26,439","$42,716"
Fort Necessity NB,"248,948","$16,663",240,"$9,106","$14,245","$25,200"
Fort Point NHS,"903,685","$60,522",641,"$35,825","$55,090","$84,828"
Fort Pulaski NM,"448,047","$33,066",411,"$13,893","$24,205","$41,774"
Fort Raleigh NHS,"263,571","$17,652",255,"$7,448","$12,599","$23,658"
Fort Scott NHS A,"25,493",$529,7,$163,$273,$554
Fort Smith NHS,"135,128","$9,050",132,"$3,565","$6,176","$11,882"
Fort Stanwix NM A,"83,401","$5,290",59,"$2,224","$4,044","$6,661"
Fort Sumter NM,"411,744","$27,574",355,"$11,952","$20,729","$35,938"
Fort Union NM A,"9,570",$748,9,$280,$477,$858
Fort Union Trading Post NHS A,"12,942","$1,205",12,$416,$657,"$1,148"
Fort Vancouver NHS,"967,602","$64,803",882,"$36,279","$57,887","$99,139"
Fort Washington P,"448,220","$30,018",361,"$16,839","$27,557","$43,985"
Fossil Butte NM A,"19,377","$1,110",13,$411,$688,"$1,237"
"Franklin Delano Roosevelt MEM A,B","3,298,788","$26,757",371,"$16,371","$25,523","$40,276"
Frederick Douglass NHS C,"12,904",$279,3,$161,$266,$427
Frederick Law Olmsted NHS,"11,904",$797,10,$480,$748,"$1,213"
Fredericksburg & Spotsylvania NMP,"844,890","$56,585",695,"$30,924","$50,445","$81,647"
Friendship Hill NHS,"19,258","$1,289",18,$699,"$1,095","$1,935"
Gates of the Arctic NP&PRES C,"11,045","$18,471",258,"$10,102","$16,124","$27,642"
Gateway Arch NP A,"2,422,836","$170,178","2,687","$108,417","$173,054","$297,769"
Gateway NRA A,"8,705,329","$262,453","2,867","$115,237","$193,663","$318,425"
"Gauley River NRA A,B","187,223","$9,388",124,"$3,852","$6,196","$11,156"
General Grant NMEM A,"84,153","$3,668",40,"$2,245","$3,646","$5,311"
George Rogers Clark NHP,"145,597","$9,751",135,"$3,861","$6,767","$12,532"
George Washington Birthplace NM A,"98,843","$5,183",61,"$2,767","$4,498","$7,214"
George Washington Carver NM A,"37,282",$802,10,$307,$504,$969
"George Washington MEM PKWY A,B","7,391,260","$241,238","3,038","$145,072","$235,762","$369,265"
Gettysburg NMP,"742,173","$54,774",653,"$30,273","$48,963","$78,752"
Gila Cliff Dwellings NM,"33,973","$2,275",29,$724,"$1,264","$2,422"
"Glacier Bay NP&PRES A,B","703,659","$291,717","3,644","$163,824","$254,593","$498,492"
Glacier NP A,"2,933,616","$372,129","5,725","$186,811","$287,572","$554,585"
Glen Canyon NRA A,"5,206,934","$539,912","6,298","$226,266","$384,281","$670,369"
"Golden Gate NRA A,B","14,953,882","$1,505,100","13,150","$941,065","$1,429,185","$2,012,317"
Golden Spike NHS A,"53,015","$3,474",47,"$1,614","$2,761","$4,971"
Governors Island NM,"38,670","$2,590",28,"$1,541","$2,504","$3,797"
Grand Canyon NP A,"4,733,705","$768,411","10,060","$350,177","$582,513","$1,022,191"
Grand Portage NM,"88,291","$6,515",83,"$2,051","$3,642","$6,954"
Grand Teton NP A,"3,417,106","$737,983","9,369","$330,747","$541,797","$936,251"
"Grant-Kohrs Ranch NHS A,B","27,219",$700,11,$336,$509,$970
"Great Basin NP A,B","143,265","$15,416",180,"$7,692","$13,217","$21,765"
Great Sand Dunes NP&PRES A,"512,219","$34,284",427,"$11,236","$19,655","$37,941"
Great Smoky Mountains NP A,"13,297,647","$2,198,538","33,748","$1,267,581","$2,000,786","$3,397,905"
"Greenbelt P A,B","91,785","$1,289",17,$723,"$1,134","$1,839"
Guadalupe Mountains NP A,"227,340","$27,545",325,"$11,180","$18,633","$32,680"
Guilford Courthouse NMP,"404,759","$27,107",392,"$13,413","$22,066","$39,693"
Gulf Islands NS,"8,277,857","$417,993","5,367","$180,492","$300,924","$542,713"
Hagerman Fossil Beds NM,"33,444","$2,239",31,"$1,033","$1,711","$3,126"
Haleakala NP,"791,292","$57,541",556,"$25,589","$47,193","$72,127"
Hamilton Grange NMEM,"48,674","$3,259",35,"$1,933","$3,145","$4,764"
Hampton NHS,"14,612",$978,12,$557,$903,"$1,459"
Harpers Ferry NHP A,"427,317","$23,802",319,"$14,478","$23,363","$37,664"
Harriet Tubman Underground Railroad NHP,"11,446",$767,10,$312,$533,$942
Harry S Truman NHS,"26,327","$1,763",26,$940,"$1,548","$2,787"
Hawaii Volcanoes NP,"1,620,294","$154,595","1,586","$71,769","$133,618","$203,117"
Herbert Hoover NHS,"109,728","$7,349",107,"$3,147","$5,221","$9,801"
Home of Franklin D Roosevelt NHS,"117,789","$7,888",92,"$4,348","$6,979","$11,162"
Homestead NM A,"49,848","$1,914",25,$694,"$1,168","$2,227"
Hopewell Culture NHP,"62,113","$4,160",60,"$2,227","$3,568","$6,335"
Hopewell Furnace NHS,"54,293","$3,636",51,"$2,197","$3,423","$5,761"
Horseshoe Bend NMP,"72,725","$4,871",74,"$2,166","$3,548","$6,750"
Hot Springs NP,"2,502,967","$184,190","2,591","$72,481","$131,576","$247,690"
Hovenweep NM,"35,231","$2,559",32,$960,"$1,692","$3,137"
Hubbell Trading Post NHS,"54,187","$3,628",49,"$1,277","$2,226","$4,301"
Independence NHP,"3,042,598","$203,770","2,783","$124,718","$193,661","$323,142"
Indiana Dunes NL,"2,765,892","$139,824","1,655","$79,238","$126,206","$206,254"
"Isle Royale NP A,C","28,965","$12,069",140,"$3,863","$6,780","$14,821"
James A Garfield NHS A,"36,553","$1,503",22,$832,"$1,295","$2,325"
Jean Lafitte NP&PRES,"248,353","$16,633",229,"$7,508","$12,712","$22,800"
Jewel Cave NM,"121,536","$8,139",112,"$3,305","$5,730","$10,730"
Jimmy Carter NHS,"40,981","$2,745",42,"$1,042","$1,782","$3,515"
"John D. Rockefeller, Jr. MEM PKWY","1,382,345","$9,961",121,"$4,382","$6,725","$11,657"
John Day Fossil Beds NM A,"169,016","$9,435",113,"$4,037","$6,433","$11,589"
John F Kennedy NHS C,"8,182",$548,7,$330,$514,$834
John Muir NHS,"50,872","$3,407",36,"$2,016","$3,101","$4,778"
Johnstown Flood NMEM A,"159,403","$11,310",169,"$6,241","$9,674","$17,327"
Joshua Tree NP A,"3,270,404","$185,818","2,202","$83,720","$135,427","$227,384"
Kalaupapa NHP,"46,981","$3,147",32,"$1,461","$2,624","$4,056"
Kaloko-Honokohau NHP,"292,400","$19,583",200,"$9,093","$16,332","$25,241"
Katahdin Woods and Waters NM,"38,455","$2,820",37,"$1,142","$1,976","$3,615"
Katmai NP&PRES,"33,763","$56,471",788,"$30,883","$49,295","$84,506"
Kenai Fjords NP,"387,525","$77,071","1,322","$47,815","$64,799","$117,498"
Kennesaw Mountain NBP,"1,499,217","$100,406","1,453","$54,675","$91,359","$158,146"
Keweenaw NHP,"29,221","$1,956",27,$603,"$1,098","$2,182"
Kings Canyon NP,"643,065","$61,219",780,"$29,092","$46,560","$79,638"
Kings Mountain NMP A,"219,267","$10,068",138,"$5,054","$8,273","$14,505"
"Klondike Gold Rush AK NHP A,B,C","1,284,320","$208,859","2,796","$123,077","$155,240","$264,857"
Klondike Gold Rush WA NHP,"71,990","$4,822",51,"$2,441","$4,270","$6,634"
Knife River Indian Villages NHS,"8,134",$545,7,$225,$373,$704
Kobuk Valley NP,"17,616","$29,464",411,"$16,113","$25,720","$44,092"
Korean War Veterans MEM A,"4,132,456","$117,360","1,559","$74,476","$119,556","$182,460"
Lake Chelan NRA,"39,419","$3,186",31,"$1,592","$2,811","$4,261"
Lake Clark NP&PRES C,"16,728","$27,981",390,"$15,302","$24,425","$41,872"
Lake Mead NRA,"5,798,541","$292,463","3,131","$130,744","$219,232","$357,760"
Lake Meredith NRA A,"1,337,683","$33,113",253,"$8,085","$12,482","$23,730"
Lake Roosevelt NRA,"1,140,360","$59,200",676,"$24,131","$43,311","$74,009"
"Lassen Volcanic NP A,B","418,978","$40,318",507,"$19,427","$30,619","$51,059"
Lava Beds NM A,"136,164","$6,785",77,"$2,730","$4,238","$7,581"
Lewis and Clark NHP,"284,739","$19,069",248,"$10,270","$16,762","$28,173"
Lincoln Boyhood NMEM A,"128,973","$6,981",107,"$3,532","$5,550","$10,146"
Lincoln Home NHS A,"158,920","$11,029",152,"$4,604","$8,039","$14,675"
Lincoln MEM,"8,099,148","$175,072","2,174","$101,051","$167,233","$268,254"
Little Bighorn Battlefield NM,"227,295","$15,222",222,"$6,896","$10,389","$20,090"
Little River Canyon NPRES,"700,638","$46,923",687,"$20,865","$34,550","$64,161"
Little Rock Central High School NHS,"58,571","$3,923",58,"$1,623","$2,886","$5,448"
Longfellow NHS,"67,376","$4,512",56,"$2,720","$4,242","$6,874"
Lowell NHP,"256,303","$17,165",213,"$10,330","$16,123","$26,127"
Lyndon B Johnson NHP,"118,819","$7,958",116,"$4,234","$6,621","$12,021"
"Lyndon Baines Johnson Memorial Grove on
the Potomac NMEM","260,344","$17,435",213,"$9,841","$16,080","$25,815"
Maggie L Walker NHS,"6,382",$427,6,$202,$340,$610
Mammoth Cave NP,"654,450","$62,024",822,"$32,873","$52,870","$89,560"
Manassas NBP,"564,905","$37,834",458,"$21,222","$34,711","$55,566"
Manhattan Project (New Mexico) NHP,"20,220","$1,354",17,$566,$935,"$1,636"
Manhattan Project (Tennessee) NHP,"23,006",$503,7,$216,$335,$616
Manhattan Project (Washington) NHP,"16,874",$635,7,$249,$444,$732
Manzanar NHS A,"105,416","$12,722",150,"$5,707","$9,181","$15,828"
Marsh - Billings - Rockefeller NHP,"71,799","$4,808",60,"$2,251","$3,824","$6,460"
Martin Luther King Jr NHS,"481,101","$32,221",466,"$17,600","$29,418","$50,845"
"Martin Luther King, Jr. MEM","3,341,654","$72,233",897,"$41,693","$68,999","$110,679"
Martin Van Buren NHS A,"12,438",$597,7,$302,$497,$799
"Mary McLeod Bethune Council House NHS
A,B","3,537",$267,3,$166,$268,$406
Medgar and Myrlie Evers Home NM,"59,542","$3,987",60,"$1,745","$2,975","$5,640"
Mesa Verde NP A,"505,194","$59,482",776,"$23,184","$40,985","$75,637"
Mill Springs Battlefield NM,"9,150",$612,9,$229,$366,$747
Minidoka (Idaho) NHS C,"9,059",$181,3,$60,$94,$195
Minidoka (Washington) NHS,"9,298",$623,7,$234,$434,$723
Minute Man NHP,"1,001,333","$67,062",836,"$40,385","$63,056","$102,307"
Minuteman Missile NHS A,"115,769","$9,902",132,"$3,999","$6,951","$12,851"
Mississippi NRRA,"294,700","$14,921",196,"$7,610","$12,368","$21,733"
Missouri NRR,"116,189","$5,883",76,"$2,377","$3,881","$7,171"
"Mojave NPRES A,B","1,178,998","$78,923",900,"$38,226","$64,438","$103,836"
Monocacy NB A,"132,098","$5,132",64,"$2,198","$3,799","$6,501"
Montezuma Castle NM,"367,239","$24,596",332,"$13,147","$21,871","$37,554"
Moores Creek NB,"55,483","$4,089",54,"$1,552","$2,762","$5,075"
Morristown NHP A,"240,144","$5,262",46,"$2,698","$4,344","$6,344"
Mount Rainier NP A,"1,674,294","$70,722",718,"$33,767","$59,221","$92,211"
Mount Rushmore NMEM A,"2,431,195","$389,390","5,718","$187,496","$313,979","$556,710"
Muir Woods NM A,"809,697","$101,029",931,"$64,328","$99,268","$141,855"
Natchez NHP,"61,179","$4,097",57,"$1,671","$2,845","$5,259"
Natchez Trace PKWY A,"6,784,853","$498,534","5,917","$255,240","$412,081","$673,377"
National Capital Parks Central A,"1,057,835","$103,310","1,376","$65,572","$105,186","$160,633"
"National Capital Parks East A,B","1,252,912","$35,843",447,"$21,125","$33,715","$52,730"
National Park of American Samoa,"12,135",$813,8,$377,$678,"$1,047"
Natural Bridges NM,"83,760","$6,036",70,"$2,346","$3,958","$6,973"
Navajo NM,"44,180","$3,148",37,"$1,219","$2,047","$3,606"
New Bedford Whaling NHP A,"17,034","$1,032",14,$661,"$1,019","$1,652"
New Orleans Jazz NHP,"40,357","$2,703",37,"$1,271","$2,140","$3,796"
New River Gorge NR,"1,707,223","$86,177","1,127","$33,578","$56,042","$104,397"
Nez Perce NHP,"377,392","$25,275",318,"$10,712","$19,011","$32,976"
Nicodemus NHS A,"7,492",$476,6,$138,$254,$469
Ninety Six NHS,"118,207","$7,917",111,"$3,403","$5,907","$10,702"
Niobrara NSR A,"75,219","$7,635",105,"$2,688","$4,386","$8,928"
Noatak NPRES,"19,108","$31,961",446,"$17,479","$27,899","$47,828"
North Cascades NP,"40,351","$2,514",24,"$1,186","$2,055","$3,114"
Obed W&SR A,"278,944","$5,967",63,"$2,135","$3,381","$6,214"
Ocmulgee NM,"180,928","$12,116",181,"$4,527","$7,858","$15,322"
Olympic NP,"2,947,503","$279,236","2,990","$143,365","$255,285","$393,205"
Oregon Caves NM,"32,041","$3,011",41,"$1,465","$2,272","$4,055"
Organ Pipe Cactus NM,"186,601","$12,635",164,"$6,513","$10,940","$18,754"
Ozark NSR,"1,334,137","$66,777",908,"$22,850","$37,965","$76,762"
Padre Island NS,"552,687","$27,631",374,"$10,975","$17,191","$33,459"
Palo Alto Battlefield NHP,"160,450","$10,746",162,"$4,655","$7,252","$14,216"
Paterson Great Falls NHP,"279,788","$18,738",227,"$10,995","$16,562","$26,795"
Pea Ridge NMP,"171,562","$11,490",170,"$5,029","$8,326","$15,901"
Pearl Harbor NMEM A,"1,692,719","$327,204","3,507","$164,913","$320,381","$483,092"
Pecos NHP,"50,709","$3,396",47,"$1,469","$2,481","$4,537"
Pennsylvania Avenue NHS,"138,108","$2,985",37,"$1,723","$2,852","$4,575"
Perry's Victory & International Peace MEM A,"101,837","$10,264",164,"$6,414","$9,953","$17,318"
Petersburg NB,"182,695","$12,236",177,"$5,866","$9,874","$17,933"
Petrified Forest NP,"520,491","$38,396",451,"$14,635","$24,671","$43,956"
Petroglyph NM,"314,528","$14,141",195,"$6,176","$10,261","$18,746"
Pictured Rocks NL,"910,939","$45,770",544,"$14,991","$26,130","$48,685"
Pinnacles NP A,"341,220","$23,860",204,"$12,552","$19,056","$27,541"
Pipe Spring NM,"24,016","$1,608",22,$646,"$1,084","$2,038"
Pipestone NM,"83,189","$5,571",77,"$2,460","$4,038","$7,433"
Piscataway P,"282,507","$18,921",228,"$10,614","$17,370","$27,727"
Point Reyes NS,"2,268,058","$115,183","1,096","$63,017","$96,396","$147,043"
Port Chicago Naval Magazine NMEM,764,$51,1,$30,$47,$72
President's Park,"897,181","$19,393",241,"$11,194","$18,525","$29,716"
"President William Jefferson Clinton
Birthplace Home NHS","5,024",$337,5,$126,$222,$419
"Prince William Forest P A,B","295,630","$8,919",101,"$4,571","$7,198","$11,202"
Pu`uhonua O Honaunau NHP,"341,502","$22,871",233,"$10,620","$19,074","$29,478"
Pullman NHP,"29,218","$1,957",24,"$1,213","$1,899","$3,011"
Puukohola Heiau NHS,"23,197","$1,554",16,$721,"$1,296","$2,003"
Rainbow Bridge NM C,165,$10,0,$4,$7,$12
Reconstruction Era NHP,"23,792","$1,594",19,$619,"$1,105","$1,882"
Redwood NP,"409,105","$29,648",384,"$13,748","$21,206","$37,905"
Richmond NBP,"169,145","$11,329",162,"$5,314","$8,975","$16,282"
Rio Grande W&SR C,300,$224,4,$91,$136,$280
River Raisin NB,"252,796","$16,930",227,"$8,963","$14,558","$25,030"
Rock Creek P,"1,817,868","$39,295",492,"$22,724","$37,586","$60,441"
Rocky Mountain NP A,"4,115,837","$568,527","7,833","$341,870","$551,120","$888,656"
Roger Williams NMEM,"37,707","$2,526",31,"$1,493","$2,350","$3,790"
Rosie the Riveter WWII Home Front NHP,"39,883","$2,671",28,"$1,581","$2,431","$3,743"
Ross Lake NRA,"881,837","$45,519",419,"$21,229","$36,578","$55,812"
Russell Cave NM,"8,678",$581,8,$245,$401,$750
Sagamore Hill NHS,"131,333","$8,796",92,"$5,192","$8,454","$12,712"
Saguaro NP,"1,010,906","$74,523",982,"$38,786","$65,606","$112,857"
Saint-Gaudens NHS A,"30,537","$1,716",23,"$1,048","$1,645","$2,676"
Saint Croix Island IHS,"12,432",$833,11,$362,$602,"$1,084"
Saint Croix NSR,"806,257","$40,259",529,"$20,363","$33,001","$58,110"
Saint Paul's Church NHS,"11,615",$778,8,$460,$750,"$1,130"
Salem Maritime NHS,"544,747","$36,483",449,"$22,187","$34,500","$55,602"
Salinas Pueblo Missions NM,"39,556","$2,649",37,"$1,125","$1,906","$3,501"
Salt River Bay NHP&EP,"13,731",$920,9,$427,$767,"$1,185"
San Antonio Missions NHP A,"1,180,929","$95,046","1,477","$51,316","$82,454","$150,011"
San Francisco Maritime NHP,"1,769,467","$51,308",472,"$25,588","$38,979","$60,901"
San Juan Island NHP,"457,989","$30,672",309,"$15,208","$26,418","$40,456"
"San Juan NHS A,B","1,314,819","$150,754","1,752","$80,637","$152,029","$226,888"
Sand Creek Massacre NHS,"5,855",$392,5,$115,$213,$417
Santa Monica Mountains NRA,"759,352","$38,448",444,"$21,420","$33,702","$54,794"
Saratoga NHP,"101,943","$6,827",85,"$3,076","$5,250","$8,954"
Saugus Iron Works NHS,"41,314","$2,767",34,"$1,679","$2,616","$4,221"
Scotts Bluff NM,"174,267","$11,671",154,"$4,461","$7,452","$13,893"
Sequoia NP A,"980,567","$84,351","1,006","$38,097","$61,470","$103,254"
Shenandoah NP,"1,576,008","$114,436","1,351","$60,838","$99,409","$159,697"
Shiloh NMP,"371,735","$24,896",347,"$9,094","$15,364","$29,732"
Sitka NHP,"182,115","$35,798",616,"$22,241","$30,073","$54,578"
Sleeping Bear Dunes NL A,"1,598,248","$196,675","2,575","$78,402","$140,352","$253,591"
Springfield Armory NHS,"15,711","$1,052",13,$595,$942,"$1,524"
Statue of Liberty NM,"3,739,607","$250,450","2,699","$149,004","$242,165","$367,354"
Steamtown NHS A,"58,403","$3,619",51,"$1,920","$2,970","$5,226"
"Stones River NB A,B","339,364","$12,827",151,"$7,130","$11,663","$18,847"
Stonewall NM,"832,650","$55,765",603,"$33,184","$53,962","$81,936"
