,Percent Visitor Spendi,ng from
President Willia,m Jefferson Clinton,95.6%
Birthplace Hom,e NHS,
Prince William F,orest P,98.8%
Pu`uhonua O H,onaunau NHP,95.6%
Puukohola Heia,u NHS,95.6%
Rainbow Bridge,NM,95.8%
Reconstruction,Era NHP,95.6%
Redwood NP,,98.7%
Richmond NBP,,95.6%
Rio Grande W&,SR,100.0%
River Raisin NB,,95.6%
Rock Creek P,,91.6%
Rocky Mountain,NP,91.3%
Roger Williams,NMEM,95.6%
Rosie the Rivet,er WWII Home Front,95.6%
NHP,,
Ross Lake NRA,,89.0%
Russell Cave N,M,95.6%
Sagamore Hill N,HS,95.6%
Saguaro NP,,98.7%
Saint-Gaudens,NHS,91.7%
Saint Croix Isla,nd IHS,95.6%
Saint Croix NSR,,88.6%
Saint Paul's Ch,urch NHS,95.6%
Salem Maritime,NHS,95.6%
Salinas Pueblo,Missions NM,95.6%
Salt River Bay,NHP&EP,95.6%
San Antonio Mi,ssions NHP,90.0%
San Francisco,Maritime NHP,60.8%
San Juan Island,NHP,95.6%
Park Unit,Non-Local,Visitors
San Juan NHS,,95.6%
Sand Creek M,assacre NHS,95.6%
Santa Monica,Mountains NRA,88.0%
Saratoga NHP,,95.6%
Saugus Iron W,orks NHS,95.6%
Scotts Bluff N,M,95.6%
Sequoia NP,,97.7%
Shenandoah N,P,98.8%
Shiloh NMP,,95.6%
Sitka NHP,,100.0%
Sleeping Bear,Dunes NL,97.5%
Springfield Ar,mory NHS,95.6%
Statue Of Libe,rty NM,95.6%
Steamtown NH,S,93.8%
Stones River N,B,95.6%
Stonewall NM,,95.6%
Sunset Crater,Volcano NM,95.6%
Tallgrass Prair,ie NPRES,95.6%
Thaddeus Kos,ciuszko NMEM,95.6%
Theodore Roo,sevelt Birthplace NHS,95.6%
Theodore Roo,sevelt Inaugural NHS,95.6%
Theodore Roo,sevelt Island P,95.6%
Theodore Roo,sevelt NP,98.7%
Thomas Ediso,n NHP,75.9%
Thomas Jeffer,son MEM,93.9%
Thomas Stone,NHS,95.6%
Timpanogos C,ave NM,95.6%
Timucuan EHP,,95.6%
Tonto NM,,95.6%
Tule Springs F,ossil Beds NM,95.6%
Park Unit,Non-Local,Visitors
Tumacacori NHP,,95.6%
Tuskegee Airmen,NHS,95.6%
Tuskegee Institute,NHS,95.6%
Tuzigoot NM,,95.6%
Ulysses S Grant N,HS,95.6%
Upper Delaware N,SR&NRR,88.0%
Valles Caldera NP,RES,98.7%
Valley Forge NHP,,46.3%
Vanderbilt Mansio,n NHS,90.7%
Vicksburg NMP,,95.6%
Vietnam Veterans,MEM,91.6%
Virgin Islands NP,,100.0%
Voyageurs NP,,98.5%
Waco Mammoth N,M,95.6%
Walnut Canyon N,M,95.6%
War In The Pacific,NHP,95.6%
Washington Monu,ment,91.6%
Washita Battlefield,NHS,95.6%
Weir Farm NHS,,95.6%
Whiskeytown NRA,,88.1%
White House,,91.6%
White Sands NP,,98.4%
Whitman Mission,NHS,95.6%
William Howard Ta,ft NHS,95.6%
Wilson's Creek NB,,95.6%
Wind Cave NP,,97.8%
Wolf Trap National,Park for the,95.6%
Performing Arts,,
Women's Rights N,HP,100.0%
World War I MEM,,91.6%
